emotion,Body,Head,UpperBody,LeftArm1,LeftArm2,RightArm1,RightArm2,LeftLeg1,LeftLeg2,RightLeg1,RightLeg2,LeftHand,RightHand,LeftFoot,RightFoot,Body_translational
COE,1.812447433,0.4823708327,2.111957676,2.195333898,2.020979901,2.122934837,0.9631764507,4.137544694,2.18371189,4.366965738,2.354411242,1.822412556,1.624895224,4.896945177,5.754332988,1.721039622
COE,2.382396722,0.5378237585,2.850590487,1.916687972,2.121716677,2.105310807,1.075840554,4.715866169,2.654549218,6.270395823,3.283790868,1.429477646,1.50176956,5.71152293,7.371861659,2.203909121
COE,2.368687097,0.921533899,2.768904308,3.070949378,3.283514154,3.374766149,2.48590901,5.250482322,2.810649746,5.48063591,2.793904494,2.407585818,2.308894939,6.066408547,6.878545509,2.279485291
COE,2.249893338,0.9334874719,2.698696014,3.128087303,3.472639776,3.511572049,2.452486471,4.83548688,2.692564914,5.383930049,2.80633794,2.525621934,2.152537118,5.722557146,6.35671151,2.151633319
COE,1.99941129,0.6058650144,2.39737173,3.048762114,2.829481223,3.069616449,2.143052706,4.618614375,2.530180818,5.065979747,2.748285413,2.150620796,2.287192644,5.488793724,6.769931239,2.004216551
JOE,1.292359806,0.5347362682,1.564474161,1.729116025,1.173920356,1.826943695,1.005368273,2.73265821,1.366260181,2.757924633,1.304058771,1.455771303,1.658905696,3.256977927,3.953801528,1.190518854
JOE,1.920872958,0.4665174049,2.457818672,2.447496528,1.367155729,2.669181282,1.236242065,4.262004918,2.179290323,4.241543504,2.09055163,1.902364853,2.363198009,5.11978033,5.7577851,1.81457094
JOE,1.747949557,0.3632117236,2.228900182,2.091283464,1.335222214,2.404936496,1.172725691,3.720490368,1.847965346,3.917232247,1.987863561,1.783028461,2.075197379,4.466279429,5.748848536,1.654642816
JOE,1.994197259,0.5316880775,2.549519778,2.025015032,1.422998963,2.779619522,1.535489373,4.310495416,2.204275226,4.439767903,2.183917844,1.877882118,2.181716582,4.942537294,6.037553847,1.854495409
JOE,1.826989214,0.5383349781,2.342858902,2.520447545,1.450483622,2.614266745,1.369864827,3.991193799,1.991035223,4.217625535,1.988143043,2.06907003,2.312470617,4.93141572,5.585645807,1.770508197
NEE,1.389228838,0.4556338133,1.655596816,1.710894778,1.080452079,1.931845055,0.7892299309,3.190624941,1.533871999,3.429057626,1.835702131,1.256654708,1.727361347,4.06151941,5.347743018,1.300783652
NEE,1.549407047,0.5731222738,1.866203916,1.887554738,1.135585311,1.924156113,0.7282674111,3.708175003,1.805586531,3.624304401,1.796047318,1.400332658,1.728947725,4.791399462,5.116104436,1.467625525
NEE,1.493871087,0.4855211951,1.81911786,1.724317287,0.9413080374,1.772019429,0.7211377488,3.493799196,1.718716463,3.674920928,1.845144566,1.30986874,1.672304446,4.402866609,5.501819468,1.418475151
NEE,1.48075531,0.6336514541,1.902070622,2.045288876,1.025690098,2.20606519,0.745703742,3.417269719,1.717031216,3.489845353,1.763739884,1.51216415,1.962330201,4.482467078,5.148036738,1.389731386
NEE,1.47236792,0.4963200128,1.769025912,1.926805887,1.006020702,1.929846352,0.6263016061,3.409862456,1.6030711,3.607134204,1.841547167,1.316391792,1.713603252,4.390696432,5.473989014,1.409316271
TRE,0.5547727102,0.2769319932,0.5540769243,0.8167808251,0.5946297715,0.6291817797,0.3978186812,1.536081086,0.7326828846,1.568113589,0.6986790568,0.5647076504,0.6082995799,2.324644792,3.040926878,0.4943220147
TRE,0.695776319,0.410366198,0.6105122591,1.011058852,0.6038850234,0.9694577795,0.5260343588,1.632617738,0.7165237495,1.649447473,0.7320598836,0.6756696114,0.8152286568,2.523951656,3.321799123,0.5264606093
TRE,0.711084115,0.3885730813,0.5884074707,1.101023798,0.6062826039,1.029829273,0.5211786543,1.484306613,0.6333839227,1.665983866,0.8186083504,0.7083517565,0.9015314053,2.347612529,3.346114537,0.5257628247
TRE,0.6669513022,0.3648331226,0.5586120129,1.059023116,0.568594252,1.009814916,0.3951833756,1.525471645,0.7057463021,1.602562546,0.7400575562,0.542950106,0.7825151391,2.39576061,3.293333823,0.4948655047
TRE,0.848355033,0.4928559765,0.7548065536,1.351672952,0.4956214593,0.9753099971,0.6402855518,1.703317915,1.886854255,1.886794677,0.8575447816,0.735876957,0.8189692098,2.664873609,3.138036686,0.4841523946
COE,1.156551704,1.299066712,1.282848655,2.873971619,5.17265815,2.841365489,5.558235031,2.588131865,2.071936412,3.893723542,2.689236949,3.4898291,2.688979076,3.429103631,4.636856685,1.458147642
