joint,time,speed_deg_per_s,speed_rad_per_s
Body,0.0333333,2234.789337,39.00443202
Body,0.0666667,187.4205598,3.271105855
Body,0.1,90.39716375,1.577728142
Body,0.133333,46.30530813,0.8081800879
Body,0.166667,19.49473861,0.3402473755
Body,0.2,9.383396812,0.1637711694
Body,0.233333,6.157685687,0.1074718895
Body,0.266667,3.96864315,0.0692658898
Body,0.3,2.917941015,0.05092767809
Body,0.333333,0,0
Body,0.366667,1.932991794,0.03373707122
Body,0.4,5.300814678,0.09251666916
Body,0.433333,6.458815786,0.1127276013
Body,0.466667,6.892036459,0.1202887284
Body,0.5,4.758373026,0.08304927634
Body,0.533333,1.882345384,0.03285312461
Body,0.566667,1.415661039,0.02470794623
Body,0.6,0,0
Body,0.633333,1.100973982,0.01921562096
Body,0.666667,3.717333904,0.06487971602
Body,0.7,3.797649453,0.06628148678
Body,0.733333,2.911083492,0.05080799174
Body,0.766667,2.513741327,0.0438730627
Body,0.8,2.281921976,0.03982705176
Body,0.833333,1.917671335,0.03346967878
Body,0.866667,2.868452611,0.0500639425
Body,0.9,3.131471956,0.05465449607
Body,0.933333,2.962140188,0.05169909918
Body,0.966667,3.855397221,0.06728937548
Body,1,3.965073956,0.06920359563
Body,1.03333,4.655635797,0.08125617342
Body,1.06667,3.318193105,0.0579133949
Body,1.1,2.696140144,0.04705652261
Body,1.13333,2.277209456,0.03974480277
Body,1.16667,2.18606883,0.03815409876
Body,1.2,2.664633549,0.04650662878
Body,1.23333,3.064343484,0.05348288321
Body,1.26667,6.16160025,0.1075402116
Body,1.3,7.120550353,0.1242770482
Body,1.33333,3.048010449,0.05319781798
Body,1.36667,7.465923227,0.130304942
Body,1.4,11.9395099,0.2083837587
Body,1.43333,18.03246941,0.3147259635
Body,1.46667,21.58027177,0.3766467959
Body,1.5,21.38931959,0.3733140516
Body,1.53333,20.45301047,0.3569723746
Body,1.56667,24.66235298,0.4304392609
Body,1.6,23.50886666,0.4103071266
Body,1.63333,26.10498772,0.455617987
Body,1.66667,61.15986287,1.067440977
Body,1.7,67.91664902,1.185369142
Body,1.73333,65.44025474,1.142147909
Body,1.76667,73.9799625,1.291193926
Body,1.8,74.01496251,1.291804791
Body,1.83333,63.02150216,1.099932712
Body,1.86667,52.27810565,0.9124250703
Body,1.9,44.92810327,0.7841433287
