joint,time,speed_deg_per_s,speed_rad_per_s
Body,0.0333333,2270.654848,39.63040327
Body,0.0666667,193.7481724,3.381543527
Body,0.1,87.28129966,1.523346054
Body,0.133333,37.89353916,0.6613670235
Body,0.166667,15.42927507,0.2692916512
Body,0.2,6.536414141,0.114081948
Body,0.233333,4.331279579,0.07559508949
Body,0.266667,2.851651631,0.04977071008
Body,0.3,0,0
Body,0.333333,1.288486505,0.02248833187
Body,0.366667,3.216647005,0.05614108111
Body,0.4,1.227348803,0.02142127768
Body,0.433333,1.821948283,0.03179899634
Body,0.466667,1.986404928,0.03466930628
Body,0.5,1.561616161,0.02725534366
Body,0.533333,2.519902795,0.0439806006
Body,0.566667,2.469030424,0.04309271023
Body,0.6,0.3153901453,0.005504596463
Body,0.633333,1.226671914,0.02140946375
Body,0.666667,1.77371241,0.03095712154
Body,0.7,0.4756818417,0.008302214329
Body,0.733333,1.757804266,0.03067947206
Body,0.766667,3.080909107,0.05377200788
Body,0.8,2.55977373,0.0446764797
Body,0.833333,0,0
Body,0.866667,0,0
Body,0.9,1.840918436,0.03213008797
Body,0.933333,1.694394986,0.02957277133
Body,0.966667,0.6883018259,0.01201313311
Body,1,0,0
Body,1.03333,0,0
Body,1.06667,0,0
Body,1.1,0,0
Body,1.13333,0,0
Body,1.16667,0.3013607298,0.005259736971
Body,1.2,0,0
Body,1.23333,1.388204064,0.02422873161
Body,1.26667,1.676906307,0.02926753631
Body,1.3,1.248460714,0.02178975004
Body,1.33333,0.3214158707,0.005609765212
Body,1.36667,1.361551743,0.02376356085
Body,1.4,2.455667031,0.04285947503
Body,1.43333,2.14864442,0.03750091959
Body,1.46667,0.9806653585,0.01711583937
Body,1.5,0.6409594279,0.01118685239
Body,1.53333,1.468035474,0.02562205256
Body,1.56667,1.718787107,0.02999849416
Body,1.6,1.731124745,0.03021382657
Body,1.63333,0,0
Body,1.66667,0,0
Body,1.7,2.467956849,0.04307397281
Body,1.73333,4.765042505,0.0831656807
Body,1.76667,3.090226549,0.05393462791
Body,1.8,2.157609701,0.03765739325
Body,1.83333,4.053199964,0.07074168462
Body,1.86667,5.578212463,0.09735817386
Body,1.9,4.654267795,0.08123229728
Body,1.93333,5.794915531,0.1011403559
Body,1.96667,10.00856491,0.1746824111
Body,2,11.55416581,0.2016582357
Body,2.03333,11.67144574,0.2037051566
Body,2.06667,9.086141168,0.1585830797
Body,2.1,8.54080285,0.1490651305
Body,2.13333,7.432231479,0.1297169101
Body,2.16667,25.61982843,0.4471503599
Body,2.2,55.69065513,0.9719852946
Body,2.23333,60.57074331,1.057158901
Body,2.26667,40.73574401,0.7109728561
Body,2.3,35.39529411,0.6177644219
Body,2.33333,45.12695344,0.787613919
Body,2.36667,48.53078613,0.8470220065
Body,2.4,39.15247755,0.6833396435
Body,2.43333,47.91906597,0.8363454757
Body,2.46667,48.03110169,0.8383008678
Body,2.5,29.44217332,0.5138628634
Body,2.53333,29.73218943,0.5189245994
Body,2.56667,22.80172521,0.3979651801
Body,2.6,27.96156977,0.4880214565
Body,2.63333,57.09504794,0.9964965731
Body,2.66667,92.55283005,1.615351616
Body,2.7,82.22337611,1.435068635
Body,2.73333,35.28756373,0.6158841721
Body,2.76667,45.07784772,0.7867568625
Body,2.8,121.3303326,2.117613787
Body,2.83333,162.4221809,2.834801835
Body,2.86667,143.2499804,2.500183811
Body,2.9,120.7884293,2.108155789
Body,2.93333,107.8239196,1.88188241
Body,2.96667,96.70267207,1.687780023
Body,3,78.7769628,1.374917376
Body,3.03333,53.30067821,0.9302723284
Body,3.06667,31.55017192,0.5506543796
Body,3.1,19.52728892,0.3408154856
Body,3.13333,53.8589408,0.9400158486
Body,3.16667,105.5973471,1.843021388
Body,3.2,159.1077573,2.77695423
Body,3.23333,138.0860902,2.410056925
Body,3.26667,41.31428467,0.7210702956
Body,3.3,112.117475,1.956819088
Body,3.33333,153.1584422,2.673119094
Body,3.36667,158.0253056,2.758061885
Body,3.4,132.0817603,2.3052616
Body,3.43333,124.8189357,2.178501397
Body,3.46667,97.94461007,1.70945593
Body,3.5,63.36239018,1.105882331
Body,3.53333,35.25675154,0.615346398
Body,3.56667,15.58738511,0.272051192
Body,3.6,52.55583668,0.9172723913
Body,3.63333,91.56623688,1.598132317
Body,3.66667,165.0588059,2.880819622
Body,3.7,168.1737003,2.935184785
Body,3.73333,53.19512984,0.9284301617
Body,3.76667,91.5675976,1.598156066
Body,3.8,169.4956556,2.958257258
Body,3.83333,176.1391068,3.074207355
Body,3.86667,154.9971668,2.705210893
Body,3.9,126.0521752,2.200025486
Body,3.93333,99.15718038,1.730619275
Body,3.96667,84.18782307,1.469354703
Body,4,68.32404428,1.192479531
Body,4.03333,24.99645008,0.4362703553
Body,4.06667,29.64062077,0.5173264247
Body,4.1,69.9029848,1.220037242
Body,4.13333,142.7240589,2.49100475
Body,4.16667,206.5366918,3.604745298
Body,4.2,90.34553037,1.576826969
Body,4.23333,95.98760799,1.675299801
Body,4.26667,166.9804985,2.914359486
Body,4.3,179.2307645,3.128166961
Body,4.33333,142.2108544,2.482047641
Body,4.36667,111.7629102,1.950630764
Body,4.4,107.9459744,1.884012668
Body,4.43333,90.64733455,1.582094446
Body,4.46667,55.26328664,0.9645263073
Body,4.5,21.43601993,0.3741291264
Body,4.53333,51.4286702,0.8975996249
Body,4.56667,78.18053101,1.364507677
Body,4.6,131.5760116,2.296434618
Body,4.63333,176.4142935,3.079010269
Body,4.66667,72.51139254,1.265562545
Body,4.7,46.08531702,0.8043405188
Body,4.73333,149.2953676,2.605695722
Body,4.76667,161.7588765,2.82322499
Body,4.8,149.0944441,2.602188946
Body,4.83333,123.3654754,2.153133728
Body,4.86667,111.1719858,1.940317189
Body,4.9,98.78205254,1.724072059
Body,4.93333,86.74831803,1.51404377
Body,4.96667,47.22766207,0.8242782012
Body,5,44.0850384,0.769429071
Body,5.03333,58.29287178,1.017402543
Head,0.0333333,119.4208973,2.084287854
Head,0.0666667,29.71993839,0.5187107784
Head,0.1,10.84677159,0.1893118774
Head,0.133333,3.199913758,0.05584903086
Head,0.166667,3.695204914,0.06449349229
Head,0.2,0,0
Head,0.233333,1.237396739,0.02159664726
Head,0.266667,1.952891985,0.03408439508
Head,0.3,1.439983116,0.02513244655
Head,0.333333,0,0
Head,0.366667,0,0
Head,0.4,1.94583189,0.03396117317
Head,0.433333,2.027907464,0.03539366218
Head,0.466667,2.179543633,0.03804021259
Head,0.5,2.913226383,0.05084539225
Head,0.533333,1.490286879,0.02601041283
Head,0.566667,0,0
Head,0.6,0,0
Head,0.633333,0,0
Head,0.666667,1.861695418,0.03249271472
Head,0.7,1.330156215,0.02321560553
Head,0.733333,1.581705734,0.02760597286
Head,0.766667,1.159793823,0.02024222086
Head,0.8,2.216504324,0.03868529833
Head,0.833333,2.012948283,0.03513257521
Head,0.866667,2.088504323,0.03645127687
Head,0.9,1.915712636,0.03343549302
Head,0.933333,2.185749796,0.03814853056
Head,0.966667,1.902015364,0.03319643052
Head,1,1.682487294,0.0293649429
Head,1.03333,0,0
Head,1.06667,0,0
Head,1.1,1.172116881,0.0204572988
Head,1.13333,2.455272415,0.04285258768
Head,1.16667,0.5976962255,0.01043176706
Head,1.2,0,0
Head,1.23333,0,0
Head,1.26667,0,0
Head,1.3,2.709413073,0.04728817892
Head,1.33333,1.537542459,0.02683517831
Head,1.36667,0,0
Head,1.4,0.7812119849,0.01363472129
Head,1.43333,1.832167724,0.03197735923
Head,1.46667,2.108596693,0.03680195488
Head,1.5,1.720766906,0.03003304817
Head,1.53333,0,0
Head,1.56667,1.485930532,0.02593438024
Head,1.6,1.470270545,0.0256610619
Head,1.63333,0,0
Head,1.66667,1.610467295,0.0281079568
Head,1.7,2.425189098,0.04232753474
Head,1.73333,2.415223661,0.04215360505
Head,1.76667,2.436435177,0.04252381584
Head,1.8,2.688144186,0.04691696681
Head,1.83333,1.663776084,0.02903837068
Head,1.86667,2.500617091,0.04364400156
Head,1.9,4.113153523,0.07178807162
Head,1.93333,5.124298685,0.08943588391
Head,1.96667,4.162457505,0.07264858843
Head,2,1.402616507,0.02448027619
Head,2.03333,3.571554561,0.06233538651
Head,2.06667,9.315434925,0.1625850107
Head,2.1,14.20875995,0.2479896438
Head,2.13333,26.12709869,0.4560038961
Head,2.16667,27.30292259,0.4765258947
Head,2.2,31.72062301,0.5536293123
Head,2.23333,36.31571355,0.6338287716
Head,2.26667,37.16156648,0.6485916903
Head,2.3,37.10147974,0.6475429789
Head,2.33333,20.88071366,0.3644372036
Head,2.36667,13.23839033,0.2310534989
Head,2.4,6.731105659,0.117479956
Head,2.43333,14.7711983,0.2578060447
Head,2.46667,7.33581361,0.1280341008
Head,2.5,11.14717475,0.1945549017
Head,2.53333,11.13258612,0.194300282
Head,2.56667,13.28499771,0.2318669512
Head,2.6,13.42472414,0.2343056374
Head,2.63333,17.67804145,0.3085400287
Head,2.66667,27.35780868,0.4774838376
Head,2.7,25.09668767,0.4380198312
Head,2.73333,18.73528749,0.326992453
Head,2.76667,32.70405935,0.5707935144
Head,2.8,47.79182551,0.8341247107
Head,2.83333,47.5401521,0.8297321811
Head,2.86667,34.41003203,0.6005683547
Head,2.9,14.78842785,0.2581067572
Head,2.93333,5.829024337,0.1017356669
Head,2.96667,5.540886174,0.09670670721
Head,3,7.02582328,0.1226237489
Head,3.03333,4.839836829,0.08447108792
Head,3.06667,7.806727853,0.1362531048
Head,3.1,14.43921506,0.2520118442
Head,3.13333,22.13857106,0.3863909566
Head,3.16667,19.2408313,0.335815857
Head,3.2,19.0885938,0.3331588114
Head,3.23333,25.24597659,0.4406254144
Head,3.26667,31.35309959,0.5472148185
Head,3.3,19.88555913,0.3470684805
Head,3.33333,22.51373671,0.3929388326
Head,3.36667,21.76308508,0.37983749
Head,3.4,26.2201487,0.4576279252
Head,3.43333,16.85596049,0.2941920091
Head,3.46667,10.15524402,0.1772424444
Head,3.5,6.997895184,0.1221363117
Head,3.53333,13.60708615,0.237488455
Head,3.56667,17.53136421,0.3059800278
Head,3.6,14.22489755,0.2482712979
Head,3.63333,10.0209193,0.1748980359
Head,3.66667,18.95207436,0.3307760976
Head,3.7,36.51654706,0.6373339776
Head,3.73333,44.36577847,0.7743289095
Head,3.76667,24.64319808,0.4301049447
Head,3.8,14.11372096,0.2463309005
Head,3.83333,7.82710252,0.1366087099
Head,3.86667,7.903070003,0.1379345926
Head,3.9,8.248234152,0.1439588434
Head,3.93333,4.9754226,0.08683750605
Head,3.96667,5.048619215,0.08811502799
Head,4,9.177609916,0.1601795105
Head,4.03333,14.48835453,0.2528694897
Head,4.06667,11.75637666,0.2051874808
Head,4.1,5.10491556,0.08909758457
Head,4.13333,8.773500634,0.153126473
Head,4.16667,12.48549771,0.2179130439
Head,4.2,28.77949522,0.5022969487
Head,4.23333,26.43634609,0.4614012814
Head,4.26667,23.37850033,0.4080318049
Head,4.3,24.58898512,0.4291587501
Head,4.33333,22.66019537,0.3954950184
Head,4.36667,14.52897673,0.253578481
Head,4.4,11.35283028,0.1981442677
Head,4.43333,11.65545574,0.2034260785
Head,4.46667,16.8026072,0.2932608186
Head,4.5,16.28735297,0.2842679357
Head,4.53333,6.08704136,0.1062389134
Head,4.56667,6.856740432,0.1196726965
Head,4.6,13.29784585,0.2320911935
Head,4.63333,31.00162092,0.5410803584
Head,4.66667,32.08661563,0.5600170886
Head,4.7,5.994336867,0.1046209148
Head,4.73333,37.24011973,0.6499627032
Head,4.76667,17.39249103,0.3035562336
Head,4.8,9.731524445,0.1698471428
Head,4.83333,9.32394663,0.162733568
Head,4.86667,12.65388551,0.2208519653
Head,4.9,12.03525308,0.2100547926
Head,4.93333,11.48861583,0.2005141727
Head,4.96667,16.43970641,0.2869270048
Head,5,21.3864367,0.3732637357
Head,5.03333,22.8110883,0.3981285968
LeftArm1,0.0333333,3560.551906,62.14335394
LeftArm1,0.0666667,197.6218774,3.449152435
LeftArm1,0.1,80.54534166,1.405781409
LeftArm1,0.133333,34.55111239,0.6030306714
LeftArm1,0.166667,18.963768,0.3309801902
LeftArm1,0.2,16.17166247,0.2822487556
LeftArm1,0.233333,8.411632096,0.1468106755
LeftArm1,0.266667,4.985455093,0.08701260608
LeftArm1,0.3,2.745749583,0.04792237065
LeftArm1,0.333333,0,0
LeftArm1,0.366667,3.72558657,0.06502375222
LeftArm1,0.4,5.204835635,0.09084151886
LeftArm1,0.433333,0,0
LeftArm1,0.466667,3.392759585,0.05921482548
LeftArm1,0.5,2.555507998,0.04460202863
LeftArm1,0.533333,3.426050319,0.0597958584
LeftArm1,0.566667,1.146584647,0.02001167725
LeftArm1,0.6,1.677010797,0.02926936
LeftArm1,0.633333,2.09591338,0.03658058932
LeftArm1,0.666667,2.602073002,0.04541474126
LeftArm1,0.7,3.247030768,0.05667137781
LeftArm1,0.733333,1.668066867,0.02911325897
LeftArm1,0.766667,1.30452236,0.02276821035
LeftArm1,0.8,1.000396392,0.01746021087
LeftArm1,0.833333,0.8046577437,0.01404392698
LeftArm1,0.866667,1.953475003,0.03409457065
LeftArm1,0.9,0.7876158984,0.01374649067
LeftArm1,0.933333,2.042592886,0.03564997115
LeftArm1,0.966667,2.945747158,0.05141298685
LeftArm1,1,3.292930256,0.05747247501
LeftArm1,1.03333,1.12571276,0.01964739409
LeftArm1,1.06667,2.598909982,0.04535953615
LeftArm1,1.1,1.687072654,0.02944497253
LeftArm1,1.13333,1.39733679,0.02438812774
LeftArm1,1.16667,1.864954081,0.03254958911
LeftArm1,1.2,1.853249931,0.03234531317
LeftArm1,1.23333,1.89785095,0.03312374778
LeftArm1,1.26667,4.491962388,0.07839953355
LeftArm1,1.3,2.128638774,0.03715175518
LeftArm1,1.33333,2.556301447,0.04461587692
LeftArm1,1.36667,1.475136214,0.02574598385
LeftArm1,1.4,1.476225284,0.02576499171
LeftArm1,1.43333,1.938321411,0.03383009058
LeftArm1,1.46667,2.919588977,0.05095644045
LeftArm1,1.5,2.472869083,0.04315970747
LeftArm1,1.53333,0.9331550422,0.01628662792
LeftArm1,1.56667,0.6415679815,0.01119747365
LeftArm1,1.6,0.8613172773,0.01503282239
LeftArm1,1.63333,0,0
LeftArm1,1.66667,3.390003445,0.05916672177
LeftArm1,1.7,5.818430078,0.1015507622
LeftArm1,1.73333,6.263550402,0.1093195774
LeftArm1,1.76667,6.707880656,0.1170746033
LeftArm1,1.8,8.112353887,0.1415872854
LeftArm1,1.83333,10.0761291,0.1758616287
LeftArm1,1.86667,12.10527323,0.2112768747
LeftArm1,1.9,12.81531269,0.2236694011
LeftArm1,1.93333,11.50648488,0.2008260465
LeftArm1,1.96667,7.925552597,0.1383269878
LeftArm1,2,7.47848513,0.1305241886
LeftArm1,2.03333,15.61360461,0.2725088085
LeftArm1,2.06667,18.65874085,0.3256564622
LeftArm1,2.1,24.49479208,0.4275147713
LeftArm1,2.13333,27.17793512,0.4743444517
LeftArm1,2.16667,37.08331537,0.6472259508
LeftArm1,2.2,52.01412165,0.9078176803
LeftArm1,2.23333,54.42711889,0.949932427
LeftArm1,2.26667,56.59005587,0.9876827989
LeftArm1,2.3,57.00536383,0.9949312901
LeftArm1,2.33333,58.04029945,1.012994324
LeftArm1,2.36667,63.96686928,1.116432481
LeftArm1,2.4,70.74428355,1.234720675
LeftArm1,2.43333,77.81216709,1.358078514
LeftArm1,2.46667,86.98105738,1.518105838
LeftArm1,2.5,83.83012889,1.463111762
LeftArm1,2.53333,69.48959429,1.212822216
LeftArm1,2.56667,47.84720926,0.8350913394
