joint,time,speed_deg_per_s,speed_rad_per_s
Body,0.0333333,2307.192483,40.2681053
Body,0.0666667,209.6360047,3.658838512
Body,0.1,81.71509758,1.426197501
Body,0.133333,29.42560287,0.5135736545
Body,0.166667,12.52327735,0.2185724229
Body,0.2,6.806379694,0.1187937358
Body,0.233333,4.333113144,0.07562709123
Body,0.266667,3.396985121,0.059288575
Body,0.3,2.216889494,0.03869202082
Body,0.333333,1.048738486,0.01830393958
Body,0.366667,2.804640719,0.04895021488
Body,0.4,2.866140081,0.05002358123
Body,0.433333,4.7041875,0.08210356051
Body,0.466667,6.939661402,0.1211199404
Body,0.5,2.251903837,0.0393031364
Body,0.533333,3.993281556,0.0696959111
Body,0.566667,4.60891942,0.08044081884
Body,0.6,2.809275289,0.04903110338
Body,0.633333,2.062594204,0.03599905999
Body,0.666667,3.784307654,0.06604862847
Body,0.7,3.223000024,0.05625196221
Body,0.733333,2.294980314,0.04005496274
Body,0.766667,1.933963802,0.03375403596
Body,0.8,1.967678421,0.03434246707
Body,0.833333,0.6325288633,0.01103971128
Body,0.866667,0.7685393391,0.0134135419
Body,0.9,2.66611406,0.04653246858
Body,0.933333,1.214531156,0.02119756755
Body,0.966667,0,0
Body,1,0,0
Body,1.03333,2.045452572,0.03569988207
Body,1.06667,1.760581253,0.03072793962
Body,1.1,0,0
Body,1.13333,1.301366609,0.02271313211
Body,1.16667,3.357849717,0.05860553335
Body,1.2,5.62624311,0.09819646678
Body,1.23333,10.64916197,0.1858629389
Body,1.26667,8.737934195,0.1525057215
Body,1.3,6.964626285,0.1215556598
Body,1.33333,4.304689531,0.07513100559
Body,1.36667,3.327136763,0.05806949118
Body,1.4,6.225432514,0.1086542947
Body,1.43333,8.64816281,0.1509389153
Body,1.46667,23.10646724,0.4032839318
Body,1.5,45.26608721,0.7900422614
Body,1.53333,53.06376887,0.9261374803
Body,1.56667,42.83691496,0.7476452074
Body,1.6,32.93808732,0.574878073
Body,1.63333,29.1531388,0.5088182593
Body,1.66667,35.21779024,0.614666395
Body,1.7,41.92919588,0.7318025208
Body,1.73333,41.26783363,0.7202595721
Body,1.76667,33.0568236,0.5769504121
Body,1.8,16.58052218,0.2893847037
Body,1.83333,10.10731667,0.1764059544
Body,1.86667,14.83984884,0.2590042228
Body,1.9,16.28368317,0.2842038856
Body,1.93333,18.01816502,0.3144763047
Body,1.96667,22.37210922,0.3904669665
Body,2,37.63986268,0.6569395338
Body,2.03333,60.17961521,1.050332428
Body,2.06667,83.71553155,1.461111661
Body,2.1,52.31555136,0.9130786212
Body,2.13333,35.3876136,0.6176303717
Body,2.16667,37.61078758,0.6564320775
Body,2.2,55.57772017,0.9700142077
Body,2.23333,102.3230503,1.785874128
Body,2.26667,120.0875753,2.09592358
Body,2.3,121.5639059,2.12169041
Body,2.33333,112.4107061,1.961936936
Body,2.36667,100.4312985,1.752856832
Body,2.4,85.19943471,1.487010657
Body,2.43333,71.95191203,1.255797768
Body,2.46667,55.81916873,0.9742282801
Body,2.5,31.65069263,0.552408797
Body,2.53333,20.04836765,0.3499100252
Body,2.56667,34.12133859,0.5955297036
Body,2.6,47.36767447,0.8267218785
Body,2.63333,55.60011873,0.9704051363
