joint,time,speed_deg_per_s,speed_rad_per_s
Body,0.0333333,3255.354104,56.81664744
Body,0.0666667,774.1081014,13.51073514
Body,0.1,183.3894292,3.200749353
Body,0.133333,49.49808768,0.8639046034
Body,0.166667,16.16489676,0.2821306717
Body,0.2,6.508927959,0.1136022237
Body,0.233333,3.597738615,0.06279238446
Body,0.266667,1.823836904,0.031831959
Body,0.3,1.295835678,0.02261659915
Body,0.333333,1.784613772,0.0311473862
Body,0.366667,0,0
Body,0.4,1.066680259,0.01861708258
Body,0.433333,1.247182906,0.02176744809
Body,0.466667,0,0
Body,0.5,1.571075744,0.02742044453
Body,0.533333,1.64614356,0.02873062508
Body,0.566667,1.272563114,0.02221041628
Body,0.6,0.3641705691,0.006355975469
Body,0.633333,0,0
Body,0.666667,1.465681934,0.02558097554
Body,0.7,1.902497319,0.03320484223
Body,0.733333,0,0
Body,0.766667,0,0
Body,0.8,0,0
Body,0.833333,0,0
Body,0.866667,0,0
Body,0.9,0,0
Body,0.933333,0,0
Body,0.966667,1.064722324,0.01858291017
Body,1,0,0
Body,1.03333,0,0
Body,1.06667,0,0
Body,1.1,0,0
Body,1.13333,0,0
Body,1.16667,1.13548516,0.01981795464
Body,1.2,1.162089909,0.02028229511
Body,1.23333,0,0
Body,1.26667,2.023310639,0.03531343244
Body,1.3,1.066433258,0.0186127716
Body,1.33333,1.325140598,0.02312806649
Body,1.36667,1.939635358,0.03385302328
Body,1.4,0,0
Body,1.43333,0,0
Body,1.46667,0.828792906,0.01446516503
Body,1.5,1.679612531,0.02931476882
Body,1.53333,0,0
Body,1.56667,1.609108798,0.02808424655
Body,1.6,2.258185664,0.03941277495
Body,1.63333,0,0
Body,1.66667,1.496543411,0.02611960991
Body,1.7,1.557839642,0.02718943097
Body,1.73333,3.312641831,0.05781650689
Body,1.76667,3.734263485,0.06517519295
Body,1.8,3.772913175,0.06584975729
Body,1.83333,5.306748933,0.09262024146
Body,1.86667,5.021103583,0.08763478961
Body,1.9,5.987193176,0.1044962339
Body,1.93333,4.741579413,0.0827561725
Body,1.96667,5.139358996,0.08969873592
Body,2,4.855554765,0.08474541766
Body,2.03333,9.765740726,0.1704443296
Body,2.06667,17.61359511,0.3074152277
Body,2.1,25.70442019,0.4486267646
Body,2.13333,28.61907781,0.4994971366
Body,2.16667,30.88081461,0.5389718906
Body,2.2,33.98615693,0.5931703385
Body,2.23333,36.91368849,0.6442654032
Body,2.26667,38.56474886,0.6730818429
Body,2.3,39.893643,0.696275421
Body,2.33333,35.0750862,0.6121757396
Body,2.36667,26.01597293,0.4540643858
Body,2.4,18.89914374,0.3298522841
Body,2.43333,10.90062792,0.1902518478
Body,2.46667,7.833527951,0.1367208548
Body,2.5,9.359853488,0.1633602609
Body,2.53333,10.06784012,0.1757169586
Body,2.56667,11.1499839,0.1946039305
Body,2.6,11.61578384,0.2027336732
Body,2.63333,17.34138382,0.3026642445
Body,2.66667,31.53687766,0.5504223509
Body,2.7,35.09424763,0.6125101697
Body,2.73333,43.22474972,0.7544142009
Body,2.76667,35.06648723,0.6120256593
Body,2.8,42.13168667,0.7353366519
Body,2.83333,36.92036586,0.6443819453
Body,2.86667,39.35856624,0.6869365698
Body,2.9,38.13692454,0.6656148998
Body,2.93333,30.1356318,0.5259659971
Body,2.96667,25.54007447,0.4457583907
Body,3,24.6492601,0.4302107469
Body,3.03333,21.25421571,0.3709560442
Body,3.06667,15.53896542,0.271206109
Body,3.1,16.78400909,0.2929362203
Body,3.13333,19.35232915,0.3377618616
Body,3.16667,14.96749077,0.2612319948
Body,3.2,10.14539966,0.177070628
Body,3.23333,11.12265315,0.1941269191
Body,3.26667,14.92145019,0.260428435
Body,3.3,22.14031495,0.3864213933
Body,3.33333,32.84602637,0.5732713063
Body,3.36667,41.72230306,0.72819156
Body,3.4,47.27512909,0.825106657
Body,3.43333,48.11845051,0.8398253924
Body,3.46667,41.95423051,0.7322394575
Body,3.5,37.2208466,0.6496263236
Body,3.53333,27.19272748,0.4746026272
Body,3.56667,21.91366168,0.3824655474
Body,3.6,32.44190033,0.5662179764
Body,3.63333,38.8333412,0.6777696635
Body,3.66667,37.01647641,0.6460593908
Body,3.7,24.73240574,0.431661912
Body,3.73333,12.58500123,0.2196497078
Body,3.76667,41.69667295,0.7277442301
Body,3.8,58.85385616,1.027193568
Body,3.83333,61.96476585,1.081489184
Body,3.86667,51.55945439,0.8998822396
Body,3.9,45.59419656,0.7957688497
Body,3.93333,40.622538,0.7089970386
Body,3.96667,37.29177165,0.6508641991
Body,4,34.98159161,0.6105439513
Body,4.03333,29.55654479,0.5158590222
Body,4.06667,25.06353188,0.4374411534
Body,4.1,18.99277041,0.3314863777
Body,4.13333,14.20577244,0.2479375018
Body,4.16667,11.23649455,0.1961138262
Body,4.2,8.037212336,0.1402758179
Body,4.23333,8.15791233,0.1423824302
Body,4.26667,14.15031025,0.2469695041
Body,4.3,24.31971589,0.4244591155
Body,4.33333,35.09907482,0.61259442
Body,4.36667,40.75053745,0.7112310505
Body,4.4,54.87721922,0.9577881598
Body,4.43333,31.78918915,0.5548260172
Body,4.46667,49.26240899,0.8597912343
Body,4.5,53.55566738,0.9347227289
Body,4.53333,44.70861682,0.7803125676
Body,4.56667,48.28595771,0.8427489445
Body,4.6,36.07632239,0.6296506077
Body,4.63333,20.58463463,0.3592696496
Body,4.66667,10.35290578,0.180692293
Body,4.7,12.28375876,0.2143920349
Body,4.73333,21.53557566,0.3758667016
Body,4.76667,26.97174928,0.47074583
Body,4.8,31.82309776,0.5554178341
Body,4.83333,31.64293441,0.5522733905
Body,4.86667,32.14571862,0.5610486303
Body,4.9,27.0381124,0.4719040849
Body,4.93333,27.92017925,0.4872990557
Body,4.96667,37.58144962,0.6559200335
Body,5,38.71329334,0.675674433
Body,5.03333,33.85227619,0.5908336788
Body,5.06667,30.03667969,0.5242389569
Body,5.1,35.56859064,0.620789017
Body,5.13333,37.08253238,0.6472122851
Body,5.16667,38.24541508,0.6675084169
Body,5.2,40.27927231,0.7030059221
Body,5.23333,46.65883975,0.8143503789
Body,5.26667,51.77357531,0.9036193547
Body,5.3,43.67812936,0.7623271685
Body,5.33333,33.21192387,0.5796574224
Body,5.36667,43.69243785,0.7625768986
Body,5.4,69.94045787,1.22069127
Body,5.43333,65.91865626,1.15049759
Body,5.46667,52.26087786,0.9121243886
Body,5.5,48.91851157,0.853789092
Body,5.53333,40.59336243,0.7084878289
Body,5.56667,25.72934346,0.4490617578
Body,5.6,43.29666598,0.7556693765
Body,5.63333,52.55078853,0.9171842844
Body,5.66667,44.50341455,0.7767311123
Body,5.7,33.66767113,0.5876117127
Body,5.73333,28.08831424,0.4902335648
Body,5.76667,25.03903495,0.4370136015
Body,5.8,28.98063663,0.5058075284
Body,5.83333,39.78597841,0.6943963194
Body,5.86667,42.04232089,0.7337769247
Body,5.9,43.66699591,0.762132853
Body,5.93333,46.5576178,0.8125837225
Body,5.96667,44.05612326,0.7689244065
Body,6,40.09931769,0.6998651216
Body,6.03333,36.65598969,0.6397677106
Body,6.06667,28.41049645,0.4958567052
Body,6.1,29.02135144,0.5065181359
Body,6.13333,31.26755491,0.5457217823
Body,6.16667,39.11777697,0.6827340041
Body,6.2,55.96155869,0.9767134538
Body,6.23333,123.1476037,2.14933115
Body,6.26667,117.5690683,2.051967339
Body,6.3,112.985382,1.971966923
Body,6.33333,115.1860043,2.010375028
Body,6.36667,96.84724614,1.690303317
Body,6.4,93.61787307,1.633940124
Body,6.43333,79.3883845,1.385588697
Body,6.46667,57.77353433,1.008338395
Body,6.5,44.57825979,0.7780374081
Body,6.53333,31.2386911,0.5452180137
Body,6.56667,22.99607644,0.401357249
Body,6.6,17.95745708,0.3134167513
Body,6.63333,14.82376569,0.2587235189
Body,6.66667,12.24114451,0.2136482759
Body,6.7,7.061711199,0.1232501113
Body,6.73333,11.84085865,0.2066619697
Body,6.76667,17.05103762,0.2975967474
Body,6.8,23.71548974,0.4139133797
Body,6.83333,32.19973487,0.5619913918
Body,6.86667,36.84164241,0.6430079619
Body,6.9,36.08828681,0.6298594263
Body,6.93333,28.87937103,0.5040401103
Body,6.96667,23.01329885,0.4016578367
Body,7,24.39267181,0.4257324364
Body,7.03333,29.09204442,0.5077519612
Body,7.06667,41.6465548,0.7268695033
Body,7.1,38.59837564,0.6736687408
Body,7.13333,38.56798321,0.6731382929
Body,7.16667,56.5782216,0.9874762518
Body,7.2,83.88085204,1.463997047
Body,7.23333,126.4675801,2.207275671
Body,7.26667,163.8235787,2.859260841
Body,7.3,58.68066722,1.02417085
Body,7.33333,40.09225019,0.6997417704
Body,7.36667,96.45492536,1.683456027
Body,7.4,75.63603225,1.320097796
Body,7.43333,41.34982843,0.7216906512
Body,7.46667,54.12871643,0.9447243216
Body,7.5,72.19393807,1.260021919
Body,7.53333,66.45257806,1.159816284
Body,7.56667,61.54080925,1.074089746
Body,7.6,49.61386807,0.8659253525
Body,7.63333,40.63172241,0.7091573368
Body,7.66667,37.20568038,0.6493616231
Body,7.7,40.57968069,0.7082490374
Body,7.73333,38.7891766,0.6769988458
Body,7.76667,38.72335158,0.6758499824
Body,7.8,35.21457996,0.614610365
Body,7.83333,31.84848987,0.55586101
Body,7.86667,31.97468,0.5580634433
Body,7.9,33.78592768,0.5896756788
Body,7.93333,39.94133719,0.6971078416
Body,7.96667,45.4925908,0.7939954947
Body,8,47.70395573,0.8325910936
Body,8.03333,50.76851391,0.886077724
Body,8.06667,51.47813431,0.8984629366
Body,8.1,54.60720333,0.9530754935
Body,8.13333,48.31604381,0.8432740461
Body,8.16667,74.43367368,1.29911268
Body,8.2,68.08175574,1.188250798
Body,8.23333,92.00497055,1.605789664
Body,8.26667,103.6396399,1.808852952
Body,8.3,108.0860431,1.886457327
Body,8.33333,66.82416274,1.16630166
Body,8.36667,28.25154527,0.4930824837
Body,8.4,37.74609023,0.6587935543
Body,8.43333,50.97356144,0.8896564786
Body,8.46667,44.78991878,0.7817315543
Body,8.5,44.57870372,0.7780451562
Body,8.53333,33.37824316,0.5825602417
Body,8.56667,30.41543169,0.5308494265
Body,8.6,30.64652555,0.5348827751
Body,8.63333,27.76386186,0.4845708025
Body,8.66667,32.3091132,0.5639004037
Body,8.7,36.37057571,0.6347862969
Body,8.73333,36.54617383,0.6378510623
Body,8.76667,37.60395485,0.656312824
Body,8.8,38.06313221,0.6643269807
Body,8.83333,38.87416713,0.6784822104
Body,8.86667,48.76876649,0.8511755474
Body,8.9,70.69338838,1.233832387
Body,8.93333,80.60747804,1.406865894
Body,8.96667,62.74915457,1.09517935
Body,9,83.8752195,1.463898741
Body,9.03333,105.6758306,1.844391183
Body,9.06667,75.96194586,1.325786062
Body,9.1,50.89699412,0.8883201268
Body,9.13333,66.76368943,1.165246201
Body,9.16667,84.99417774,1.483428247
Body,9.2,83.66839146,1.460288911
Body,9.23333,72.82408885,1.271020125
Body,9.26667,63.6478837,1.110865132
Body,9.3,49.12771147,0.8574403192
Body,9.33333,50.4094405,0.8798107109
Body,9.36667,42.6743005,0.7448070497
Body,9.4,40.76578255,0.7114971277
Body,9.43333,42.71938004,0.7455938361
Body,9.46667,42.67338033,0.7447909897
Body,9.5,44.89654116,0.783592466
Body,9.53333,43.53264538,0.7597879939
Body,9.56667,42.42039475,0.7403755583
Body,9.6,39.31976752,0.6862594043
Body,9.63333,39.65284559,0.6920727134
Body,9.66667,41.4717211,0.7238180796
Body,9.7,45.52429906,0.7945489083
Body,9.73333,31.26704202,0.5457128306
Body,9.76667,77.46713147,1.352056506
Body,9.8,78.36632189,1.36775034
Body,9.83333,57.66945958,1.006521948
Body,9.86667,47.32937893,0.8260534953
Body,9.9,34.72164242,0.606006982
Body,9.93333,28.94670824,0.5052153663
Body,9.96667,36.33887475,0.6342330108
Body,10,53.75659284,0.9382295398
Body,10.0333,57.38953416,1.001636327
Head,0.0333333,155.4662935,2.713398698
Head,0.0666667,40.34458713,0.7041458807
Head,0.1,14.9161839,0.2603365209
Head,0.133333,4.802283577,0.08381566003
Head,0.166667,3.481509435,0.06076380259
Head,0.2,2.894190119,0.05051314676
Head,0.233333,1.893760216,0.03305235102
Head,0.266667,0,0
Head,0.3,0.2368008068,0.004132953749
Head,0.333333,2.621327761,0.0457508002
Head,0.366667,2.416691476,0.04217922326
Head,0.4,3.758071552,0.06559072211
Head,0.433333,1.546304669,0.02698810772
Head,0.466667,1.953680362,0.03409815485
Head,0.5,1.351450747,0.02358726521
Head,0.533333,0,0
Head,0.566667,0,0
Head,0.6,0.660903237,0.01153493752
Head,0.633333,0,0
Head,0.666667,0,0
Head,0.7,1.239182517,0.02162781496
Head,0.733333,0.9076589048,0.01584163637
Head,0.766667,0,0
Head,0.8,2.222423382,0.0387886054
Head,0.833333,1.298294786,0.02265951867
Head,0.866667,1.494770175,0.02608866111
Head,0.9,0.4073067825,0.007108844421
Head,0.933333,0.8526315904,0.01488122856
Head,0.966667,1.592567845,0.02779555246
Head,1,1.945137834,0.03394905961
Head,1.03333,1.391743256,0.02429050216
Head,1.06667,0.6061048347,0.01057852498
Head,1.1,0,0
Head,1.13333,1.082029353,0.01888497481
Head,1.16667,1.803645122,0.03147954592
Head,1.2,1.945023064,0.0339470565
Head,1.23333,1.876492451,0.03275097166
Head,1.26667,0,0
Head,1.3,0,0
Head,1.33333,0.3793311726,0.006620577917
Head,1.36667,1.122020177,0.01958294637
Head,1.4,2.159248192,0.03768599032
Head,1.43333,2.364467497,0.04126774287
Head,1.46667,2.355173829,0.04110553776
Head,1.5,2.726035032,0.04757828684
Head,1.53333,3.456147255,0.06032114904
Head,1.56667,0,0
Head,1.6,0.9515996861,0.01660854768
Head,1.63333,1.780547143,0.03107641014
Head,1.66667,3.632407662,0.06339747348
Head,1.7,3.333616718,0.05818258774
Head,1.73333,3.394834853,0.05925104574
Head,1.76667,4.933043833,0.08609785702
Head,1.8,7.904218645,0.1379546402
Head,1.83333,11.47344446,0.2002493824
Head,1.86667,14.11828764,0.2464106041
Head,1.9,14.83634688,0.258943102
Head,1.93333,16.76166977,0.2925463256
Head,1.96667,19.92878155,0.347822854
Head,2,20.42526587,0.3564881399
Head,2.03333,19.76845481,0.3450246245
Head,2.06667,16.4551021,0.2871957103
Head,2.1,17.13816964,0.299117488
Head,2.13333,15.14245825,0.2642857533
Head,2.16667,14.58330435,0.2545266767
Head,2.2,17.26042518,0.3012512496
Head,2.23333,15.49985944,0.2705235809
Head,2.26667,9.188511217,0.1603697741
Head,2.3,10.02456762,0.1749617111
Head,2.33333,8.373962943,0.1461532248
Head,2.36667,6.835236501,0.1192973821
Head,2.4,5.773332521,0.1007636613
Head,2.43333,5.64593586,0.09854017012
Head,2.46667,7.651602551,0.1335456576
Head,2.5,6.941066383,0.121144462
Head,2.53333,7.513849629,0.1311414155
Head,2.56667,8.036652735,0.1402660511
Head,2.6,6.124148041,0.1068865472
Head,2.63333,5.594847407,0.09764850841
Head,2.66667,5.200530687,0.09076638334
Head,2.7,10.18976159,0.1778448898
Head,2.73333,14.53054755,0.2536058968
Head,2.76667,15.42400353,0.2691996454
Head,2.8,21.33326647,0.3723357402
Head,2.83333,32.15556969,0.5612205639
Head,2.86667,37.44541856,0.6535458437
Head,2.9,34.65131319,0.6047795053
Head,2.93333,34.40508633,0.6004820358
Head,2.96667,27.93877288,0.4876235758
Head,3,16.7616236,0.2925455199
Head,3.03333,3.342427331,0.05833636194
Head,3.06667,10.63471716,0.1856108294
Head,3.1,16.08095942,0.2806656887
Head,3.13333,16.04901546,0.2801081616
