joint,time,angle_type,angle_deg
Body,0,roll,-6.397690529
Body,0.0333333,roll,0.1752473527
Body,0.0666667,roll,-1.426409604
Body,0.1,roll,-1.873402162
Body,0.133333,roll,-2.13148205
Body,0.166667,roll,-2.260713774
Body,0.2,roll,-2.343389016
Body,0.233333,roll,-2.459476843
Body,0.266667,roll,-2.554708562
Body,0.3,roll,-2.624053025
Body,0.333333,roll,-2.650743308
Body,0.366667,roll,-2.734807639
Body,0.4,roll,-2.887269477
Body,0.433333,roll,-3.025662325
Body,0.466667,roll,-3.170748579
Body,0.5,roll,-3.299751263
Body,0.533333,roll,-3.30187912
Body,0.566667,roll,-3.383309161
Body,0.6,roll,-3.317902592
Body,0.633333,roll,-3.354140719
Body,0.666667,roll,-3.301827104
Body,0.7,roll,-3.228558674
Body,0.733333,roll,-3.2085835
Body,0.766667,roll,-3.165646309
Body,0.8,roll,-3.063642652
Body,0.833333,roll,-2.968124091
Body,0.866667,roll,-2.833336858
Body,0.9,roll,-2.757942523
Body,0.933333,roll,-2.699999728
Body,0.966667,roll,-2.719734014
Body,1,roll,-2.828086615
Body,1.03333,roll,-2.975363062
Body,1.06667,roll,-3.114051716
Body,1.1,roll,-3.273431417
Body,1.13333,roll,-3.344214013
Body,1.16667,roll,-3.315531299
Body,1.2,roll,-3.210238224
Body,1.23333,roll,-3.076898819
Body,1.26667,roll,-2.936996931
Body,1.3,roll,-2.846831565
Body,1.33333,roll,-2.703014384
Body,1.36667,roll,-2.517556088
Body,1.4,roll,-2.45328953
Body,1.43333,roll,-2.487767164
Body,1.46667,roll,-2.480103641
Body,1.5,roll,-2.471277607
Body,1.53333,roll,-2.455846881
Body,1.56667,roll,-2.42874824
Body,1.6,roll,-2.461351142
Body,1.63333,roll,-2.50867165
Body,1.66667,roll,-2.582228161
Body,1.7,roll,-2.749272183
Body,1.73333,roll,-3.056735091
Body,1.76667,roll,-3.528007174
Body,1.8,roll,-4.098761148
Body,1.83333,roll,-4.714910416
Body,1.86667,roll,-5.324572748
Body,1.9,roll,-5.869197736
Body,1.93333,roll,-6.20117191
Body,1.96667,roll,-6.396564524
Body,2,roll,-6.578088697
Body,2.03333,roll,-6.743381265
Body,2.06667,roll,-7.103163389
Body,2.1,roll,-8.127501636
Body,2.13333,roll,-9.671511672
Body,2.16667,roll,-9.511660753
Body,2.2,roll,-8.366822804
Body,2.23333,roll,-7.195813522
Body,2.26667,roll,-6.039968176
Body,2.3,roll,-3.744253619
Body,2.33333,roll,-0.8947552665
Body,2.36667,roll,1.185677443
Body,2.4,roll,1.050813618
Body,2.43333,roll,0.4752752289
Body,2.46667,roll,0.9021082698
Body,2.5,roll,2.181538978
Body,2.53333,roll,3.941026639
Body,2.56667,roll,4.985468486
Body,2.6,roll,5.824503711
Body,2.63333,roll,5.525097082
Body,2.66667,roll,4.334286942
Body,2.7,roll,2.519065482
Body,2.73333,roll,0.8284089347
Body,2.76667,roll,-0.9037721182
Body,2.8,roll,-2.588223996
Body,2.83333,roll,-3.555941771
Body,2.86667,roll,-3.190477602
Body,2.9,roll,-2.618620122
Body,2.93333,roll,-1.515267891
Body,2.96667,roll,-0.3631130819
Body,3,roll,0.07360850939
Body,3.03333,roll,0.6532250624
Body,3.06667,roll,0.9311442784
Body,3.1,roll,0.9289601987
Body,3.13333,roll,1.209307642
Body,3.16667,roll,2.325226287
Body,3.2,roll,3.991947399
Body,3.23333,roll,4.633760242
Body,3.26667,roll,3.675361443
Body,3.3,roll,2.01497409
Body,3.33333,roll,2.028445003
Body,3.36667,roll,2.548854452
Body,3.4,roll,2.500925361
Body,3.43333,roll,1.223871799
Body,3.46667,roll,0.7388381708
Body,3.5,roll,2.364136518
Body,3.53333,roll,3.641300678
Body,3.56667,roll,2.157977753
Body,3.6,roll,-1.801506166
Body,3.63333,roll,-4.606570736
Body,3.66667,roll,-4.025681765
Body,3.7,roll,-1.791681034
Body,3.73333,roll,-1.952803186
Body,3.76667,roll,-2.913898002
Body,3.8,roll,-3.557705361
Body,3.83333,roll,-2.169296974
Body,3.86667,roll,0.190684195
Body,3.9,roll,2.185538126
Body,3.93333,roll,2.939678471
Body,3.96667,roll,3.140124866
Body,4,roll,3.640632165
Body,4.03333,roll,4.19503007
Body,4.06667,roll,3.269891316
Body,4.1,roll,2.98443491
Body,4.13333,roll,4.287110701
Body,4.16667,roll,4.521540102
Body,4.2,roll,3.168779337
Body,4.23333,roll,2.062081795
Body,4.26667,roll,1.671448179
Body,4.3,roll,1.392229148
Body,4.33333,roll,0.8137492951
Body,4.36667,roll,-0.2682198346
Body,4.4,roll,-2.131919417
Body,4.43333,roll,-4.472861612
Body,4.46667,roll,-6.001532093
Body,4.5,roll,-5.620902471
Body,4.53333,roll,-4.814704491
Body,4.56667,roll,-4.300125124
Body,4.6,roll,-3.35055455
Body,4.63333,roll,-2.51756432
Body,4.66667,roll,-0.3863376292
Body,4.7,roll,1.575647339
Body,4.73333,roll,2.561340822
Body,4.76667,roll,2.699725719
Body,4.8,roll,3.578255074
Body,4.83333,roll,5.678767163
Body,4.86667,roll,7.842582583
Body,4.9,roll,9.094642912
Body,4.93333,roll,8.679074573
Body,4.96667,roll,7.201323791
Body,5,roll,6.641308254
Body,5.03333,roll,6.49311663
Body,0,pitch,-3.001976192
Body,0.0333333,pitch,-6.658076507
Body,0.0666667,pitch,-3.456120017
Body,0.1,pitch,-3.143861246
Body,0.133333,pitch,-3.166774187
Body,0.166667,pitch,-3.22246055
Body,0.2,pitch,-3.316314832
Body,0.233333,pitch,-3.387207853
Body,0.266667,pitch,-3.424429908
Body,0.3,pitch,-3.453709213
Body,0.333333,pitch,-3.488276142
Body,0.366667,pitch,-3.528579045
Body,0.4,pitch,-3.595038749
Body,0.433333,pitch,-3.584343562
Body,0.466667,pitch,-3.603299906
Body,0.5,pitch,-3.588654919
Body,0.533333,pitch,-3.512368126
Body,0.566667,pitch,-3.509526652
Body,0.6,pitch,-3.503223776
Body,0.633333,pitch,-3.472077401
Body,0.666667,pitch,-3.449777319
Body,0.7,pitch,-3.446413697
Body,0.733333,pitch,-3.393768243
Body,0.766667,pitch,-3.310242789
Body,0.8,pitch,-3.201112988
Body,0.833333,pitch,-3.124311333
Body,0.866667,pitch,-3.056391543
Body,0.9,pitch,-3.054830879
Body,0.933333,pitch,-3.098082773
Body,0.966667,pitch,-3.139144444
Body,1,pitch,-3.260732342
Body,1.03333,pitch,-3.361925223
Body,1.06667,pitch,-3.387127498
Body,1.1,pitch,-3.313783853
Body,1.13333,pitch,-3.26380838
Body,1.16667,pitch,-3.23148175
Body,1.2,pitch,-3.199569324
Body,1.23333,pitch,-3.211407966
Body,1.26667,pitch,-3.250075318
Body,1.3,pitch,-3.299487673
Body,1.33333,pitch,-3.352179676
Body,1.36667,pitch,-3.339455513
Body,1.4,pitch,-3.330582559
Body,1.43333,pitch,-3.350698913
Body,1.46667,pitch,-3.370677932
Body,1.5,pitch,-3.358739831
Body,1.53333,pitch,-3.321239069
Body,1.56667,pitch,-3.287596347
Body,1.6,pitch,-3.275699423
Body,1.63333,pitch,-3.281931947
Body,1.66667,pitch,-3.275911765
Body,1.7,pitch,-3.214110845
Body,1.73333,pitch,-3.054951372
Body,1.76667,pitch,-2.755528058
Body,1.8,pitch,-2.283921829
Body,1.83333,pitch,-1.759004632
Body,1.86667,pitch,-1.113991811
Body,1.9,pitch,-0.4186576838
Body,1.93333,pitch,0.4021268544
Body,1.96667,pitch,1.358186138
Body,2,pitch,2.275102759
Body,2.03333,pitch,3.080180476
Body,2.06667,pitch,3.865320016
Body,2.1,pitch,4.440943428
Body,2.13333,pitch,4.936711477
Body,2.16667,pitch,5.598923446
Body,2.2,pitch,6.681266353
Body,2.23333,pitch,7.796150078
Body,2.26667,pitch,8.416447149
Body,2.3,pitch,9.317892992
Body,2.33333,pitch,10.3888072
