joint,time,speed_deg_per_s,speed_rad_per_s
Body,0.0333333,2562.407358,44.72244517
Body,0.0666667,132.9473256,2.320368564
Body,0.1,36.13734427,0.6307156405
Body,0.133333,15.96707959,0.2786781107
Body,0.166667,9.429599502,0.1645775584
Body,0.2,6.186315554,0.107971575
Body,0.233333,6.061947139,0.1058009367
Body,0.266667,3.808049665,0.06646300474
Body,0.3,5.877307618,0.1025783691
Body,0.333333,4.168004945,0.07274540953
Body,0.366667,2.831218178,0.04941407904
Body,0.4,1.763169741,0.03077311725
Body,0.433333,3.622568157,0.06322574172
Body,0.466667,6.784700617,0.1184153645
Body,0.5,6.908481276,0.1205757446
Body,0.533333,8.128845701,0.1418751219
Body,0.566667,7.015430272,0.1224423567
Body,0.6,6.135855018,0.1070908725
Body,0.633333,7.681405717,0.1340658209
Body,0.666667,4.497117906,0.07848951432
Body,0.7,2.689406788,0.04693900338
Body,0.733333,4.032588729,0.0703819507
Body,0.766667,2.74189081,0.04785502237
Body,0.8,1.354469819,0.02363995796
Body,0.833333,2.885681888,0.05036465012
Body,0.866667,2.050959778,0.03579600096
Body,0.9,1.448192534,0.02527572792
Body,0.933333,4.005871064,0.06991563947
Body,0.966667,2.600334435,0.04538439754
Body,1,0.3878706064,0.006769619153
Body,1.03333,1.399415631,0.02442441037
Body,1.06667,1.966967361,0.03433005673
Body,1.1,2.365042992,0.04127778717
Body,1.13333,2.489844586,0.04345598589
Body,1.16667,2.453963185,0.04282973729
Body,1.2,1.335177026,0.0233032352
Body,1.23333,1.563587114,0.02728974328
Body,1.26667,2.938267725,0.0512824461
Body,1.3,3.873526127,0.06760578458
Body,1.33333,2.245632526,0.03919368136
Body,1.36667,1.495630907,0.02610368371
Body,1.4,2.895983048,0.05054443926
Body,1.43333,3.44601377,0.06014428636
Body,1.46667,4.704358475,0.08210654458
Body,1.5,5.824897443,0.101663639
Body,1.53333,5.687901326,0.09927260567
Body,1.56667,5.021527203,0.08764218317
Body,1.6,3.216500756,0.05613852859
Body,1.63333,3.097601497,0.05406334504
Body,1.66667,6.045760144,0.1055184203
Body,1.7,8.407256443,0.146734306
Body,1.73333,8.452293888,0.1475203577
Body,1.76667,7.315530744,0.127680098
Body,1.8,9.737756993,0.1699559213
Body,1.83333,13.03406587,0.2274873643
Body,1.86667,14.23375137,0.2484258263
Body,1.9,16.2792609,0.2841267026
Body,1.93333,15.97672068,0.2788463795
Body,1.96667,14.61552189,0.2550889789
Body,2,20.15026155,0.3516884092
Body,2.03333,30.49669204,0.532267687
Body,2.06667,32.26896778,0.5631997339
Body,2.1,12.74738532,0.2224838448
Body,2.13333,26.37660301,0.4603585679
Body,2.16667,61.42413344,1.072053369
Body,2.2,51.44743777,0.8979271808
Body,2.23333,65.48468143,1.142923301
Body,2.26667,86.47683588,1.509305513
Body,2.3,82.12389658,1.43333239
Body,2.33333,56.51213875,0.9863228886
Body,2.36667,55.72228919,0.9725374131
Body,2.4,52.28337601,0.9125170555
Body,2.43333,62.30988075,1.087512576
Body,2.46667,65.8444928,1.149203194
Body,2.5,50.61537904,0.8834050165
Body,2.53333,65.05351629,1.135398049
Body,2.56667,87.76555684,1.531797937
Body,2.6,85.20623002,1.487129257
Body,2.63333,81.97025188,1.430650784
Body,2.66667,83.39722211,1.455556113
Body,2.7,52.07590487,0.908896001
Body,2.73333,93.41547356,1.630407586
Body,2.76667,112.9852254,1.971964189
Body,2.8,116.1319461,2.026884825
Body,2.83333,103.4476121,1.805501435
Body,2.86667,59.47479493,1.038030994
Body,2.9,58.19376105,1.015672735
Body,2.93333,47.09884,0.8220298319
Body,2.96667,62.38132377,1.088759491
Body,3,16.71545406,0.2917397094
Body,3.03333,99.43646376,1.735493689
Body,3.06667,141.4104932,2.468078704
Body,3.1,97.56877401,1.702896354
Body,3.13333,34.04559191,0.5942076745
Body,3.16667,52.15981309,0.9103604756
Body,3.2,137.2813452,2.396011476
Body,3.23333,147.0097806,2.565804703
Body,3.26667,64.51726492,1.126038697
Body,3.3,126.5717619,2.209093986
Body,3.33333,149.9861535,2.617752211
Body,3.36667,134.1238862,2.34090342
Body,3.4,107.6870486,1.87949356
Body,3.43333,180.3581161,3.147842959
Body,3.46667,157.8515666,2.755029566
Body,3.5,84.87931474,1.481423509
Body,3.53333,30.47974464,0.5319718991
Body,3.56667,35.47504491,0.619156336
Body,3.6,99.41869219,1.735183517
Body,3.63333,110.4681264,1.928032524
Body,3.66667,94.57655002,1.650672193
Body,3.7,142.7426181,2.491328668
Body,3.73333,113.3031578,1.977513156
Body,3.76667,70.31460276,1.22722133
Body,3.8,140.8663945,2.45858239
Body,3.83333,149.6430676,2.611764232
Body,3.86667,66.60603037,1.162494532
Body,3.9,88.48852871,1.544416176
Body,3.93333,135.9183405,2.372222556
Body,3.96667,95.18397271,1.661273719
Body,4,114.6384337,2.000818118
Body,4.03333,45.35675084,0.7916246402
Body,4.06667,99.62432771,1.738772534
Body,4.1,78.73107387,1.374116463
Body,4.13333,127.5782231,2.226660048
Body,4.16667,147.3501934,2.571746027
Body,4.2,93.25109511,1.627538641
Body,4.23333,80.86719244,1.411398765
Body,4.26667,41.89408546,0.7311897285
Body,4.3,57.54661841,1.004377965
Body,4.33333,106.9573485,1.866757891
Body,4.36667,88.68640003,1.547869682
Body,4.4,102.8131393,1.794427795
Body,4.43333,129.0775567,2.252828355
Body,4.46667,118.8786827,2.074824424
Body,4.5,70.88217398,1.237127317
Body,4.53333,56.41138138,0.9845643407
Body,4.56667,71.25046865,1.243555272
Body,4.6,88.10368724,1.537699425
Body,4.63333,77.1195631,1.345990294
Body,4.66667,44.51826593,0.7769903177
Body,4.7,48.02141901,0.8381318732
Body,4.73333,38.19341594,0.6666008608
Body,4.76667,42.13248448,0.7353505762
Body,4.8,57.66285229,1.006406629
Body,4.83333,92.48165234,1.614109331
Body,4.86667,28.43969828,0.4963663733
Body,4.9,78.24782436,1.365682168
Body,4.93333,97.08913036,1.694524993
Body,4.96667,87.45094996,1.526307011
Body,5,80.2322048,1.40031614
Body,5.03333,74.55442363,1.301220164
Body,5.06667,66.6820064,1.163820564
Body,5.1,48.73928413,0.8506609832
Body,5.13333,40.58169929,0.7082842687
Head,0.0333333,43.45165416,0.7583744306
Head,0.0666667,24.50163082,0.42763413
Head,0.1,4.772065918,0.08328826239
Head,0.133333,1.765156852,0.03080779888
Head,0.166667,2.416380253,0.04217379139
Head,0.2,0.4738659656,0.008270521314
Head,0.233333,0.7454511962,0.01301057779
Head,0.266667,2.984798869,0.05209456777
Head,0.3,2.378676653,0.04151573943
Head,0.333333,4.997069151,0.08721530963
Head,0.366667,4.575255698,0.07985327606
Head,0.4,5.024147328,0.08768791297
Head,0.433333,3.888680607,0.06787028016
Head,0.466667,5.441066076,0.09496451785
Head,0.5,2.281952251,0.03982758015
Head,0.533333,6.873812782,0.1199706652
Head,0.566667,4.697304207,0.08198342439
Head,0.6,3.446793677,0.0601578983
Head,0.633333,0,0
Head,0.666667,0,0
Head,0.7,3.61998812,0.06318071157
Head,0.733333,4.383963988,0.07651460587
