joint,time,angle_type,angle_deg
Body,0,roll,-6.397690529
Body,0.0333333,roll,2.947594925
Body,0.0666667,roll,1.078681712
Body,0.1,roll,0.09666502748
Body,0.133333,roll,-0.3155165042
Body,0.166667,roll,-0.4679642612
Body,0.2,roll,-0.5375503888
Body,0.233333,roll,-0.5463145059
Body,0.266667,roll,-0.5415671427
Body,0.3,roll,-0.5211542594
Body,0.333333,roll,-0.515495516
Body,0.366667,roll,-0.5114920235
Body,0.4,roll,-0.5287144464
Body,0.433333,roll,-0.5465812293
Body,0.466667,roll,-0.5460869153
Body,0.5,roll,-0.5465367511
Body,0.533333,roll,-0.5570295095
Body,0.566667,roll,-0.54151174
Body,0.6,roll,-0.4358248789
Body,0.633333,roll,-0.4360536198
Body,0.666667,roll,-0.4623792969
Body,0.7,roll,-0.5021704293
Body,0.733333,roll,-0.4652708131
Body,0.766667,roll,-0.4573333005
Body,0.8,roll,-0.4594648721
Body,0.833333,roll,-0.451845516
Body,0.866667,roll,-0.4429554293
Body,0.9,roll,-0.4599882186
Body,0.933333,roll,-0.4868752884
Body,0.966667,roll,-0.4790517475
Body,1,roll,-0.4865002875
Body,1.03333,roll,-0.4717671292
Body,1.06667,roll,-0.473075749
Body,1.1,roll,-0.4841540636
Body,1.13333,roll,-0.467326123
Body,1.16667,roll,-0.4667713795
Body,1.2,roll,-0.4547316764
Body,1.23333,roll,-0.4418939153
Body,1.26667,roll,-0.4390419515
Body,1.3,roll,-0.4311914676
Body,1.33333,roll,-0.4242420738
Body,1.36667,roll,-0.423139035
Body,1.4,roll,-0.3986264197
Body,1.43333,roll,-0.3884906399
Body,1.46667,roll,-0.3584264483
Body,1.5,roll,-0.3445929439
Body,1.53333,roll,-0.3499940249
Body,1.56667,roll,-0.3559740366
Body,1.6,roll,-0.3080150486
Body,1.63333,roll,-0.2952054973
Body,1.66667,roll,-0.2275396993
Body,1.7,roll,-0.2202839775
Body,1.73333,roll,-0.1293282799
Body,1.76667,roll,-0.04014181369
Body,1.8,roll,0.05748791021
Body,1.83333,roll,0.1265827129
Body,1.86667,roll,0.0793954802
Body,1.9,roll,0.004974151336
Body,1.93333,roll,-0.2298350072
Body,1.96667,roll,-0.5076015389
Body,2,roll,-1.179048062
Body,2.03333,roll,-2.010310617
Body,2.06667,roll,-2.681725945
Body,2.1,roll,-2.536830379
Body,2.13333,roll,-2.03698392
Body,2.16667,roll,-1.904747775
Body,2.2,roll,-1.909156256
Body,2.23333,roll,-1.706199521
Body,2.26667,roll,-1.061130876
Body,2.3,roll,-0.2268460572
Body,2.33333,roll,0.5724406196
Body,2.36667,roll,1.650544239
Body,2.4,roll,2.961616452
Body,2.43333,roll,4.036135432
Body,2.46667,roll,4.547883496
Body,2.5,roll,4.090112203
Body,2.53333,roll,2.84292225
Body,2.56667,roll,2.940088982
Body,2.6,roll,3.506529017
Body,2.63333,roll,3.520734845
Body,2.66667,roll,2.856720647
Body,2.7,roll,1.797889446
Body,2.73333,roll,1.58517712
Body,2.76667,roll,2.485124959
Body,2.8,roll,3.824134099
Body,2.83333,roll,5.077413565
Body,2.86667,roll,5.950863066
Body,2.9,roll,6.474931491
Body,2.93333,roll,6.752921108
Body,2.96667,roll,6.530132899
Body,3,roll,6.110547083
Body,3.03333,roll,5.785693087
Body,3.06667,roll,5.49298939
Body,3.1,roll,5.192823812
Body,3.13333,roll,4.951569547
Body,3.16667,roll,4.679840828
Body,3.2,roll,4.22859033
Body,3.23333,roll,3.834574032
Body,3.26667,roll,3.574375404
Body,3.3,roll,3.894718384
Body,3.33333,roll,4.286733049
Body,3.36667,roll,4.296159583
Body,3.4,roll,3.880013914
Body,3.43333,roll,3.066216359
Body,3.46667,roll,2.487886366
Body,3.5,roll,2.085090744
Body,3.53333,roll,2.234179054
Body,3.56667,roll,2.543545455
Body,3.6,roll,1.335013807
Body,3.63333,roll,-1.449817289
Body,3.66667,roll,-2.31630008
Body,3.7,roll,-1.10565563
Body,3.73333,roll,0.5998218033
Body,3.76667,roll,2.667550253
Body,3.8,roll,4.31492761
Body,3.83333,roll,4.748885475
Body,3.86667,roll,3.611812301
Body,3.9,roll,2.790704237
Body,3.93333,roll,3.128582602
Body,3.96667,roll,3.621387277
Body,4,roll,3.580936298
Body,4.03333,roll,3.377205737
Body,4.06667,roll,3.439120136
Body,4.1,roll,3.218603705
Body,4.13333,roll,3.71355499
Body,4.16667,roll,5.560388379
Body,4.2,roll,6.70108808
Body,4.23333,roll,6.417498823
Body,4.26667,roll,4.737032431
Body,4.3,roll,2.004268718
Body,4.33333,roll,-0.7971465664
Body,4.36667,roll,-2.550974174
Body,4.4,roll,-2.85363185
Body,4.43333,roll,-2.087535683
Body,4.46667,roll,-1.001996887
Body,4.5,roll,-0.5793054455
Body,4.53333,roll,0.6841569504
Body,4.56667,roll,0.792900528
Body,4.6,roll,0.3598097794
Body,4.63333,roll,-0.143405115
Body,4.66667,roll,-0.1606800619
Body,4.7,roll,0.3508442106
Body,4.73333,roll,0.8606251862
Body,4.76667,roll,1.076442257
Body,4.8,roll,1.963784516
Body,4.83333,roll,2.804736022
Body,4.86667,roll,3.69031843
Body,4.9,roll,3.565824823
Body,4.93333,roll,1.99499735
Body,4.96667,roll,-0.05074081373
Body,5,roll,-2.01168247
Body,5.03333,roll,-3.003641747
Body,5.06667,roll,-2.292823579
Body,5.1,roll,-1.197894996
Body,5.13333,roll,-0.2016354731
Body,5.16667,roll,0.09039679504
Body,5.2,roll,-0.4218385474
Body,5.23333,roll,-1.010800483
Body,5.26667,roll,-1.682485425
Body,5.3,roll,-2.154541252
Body,5.33333,roll,-1.949888967
Body,5.36667,roll,-1.525579854
Body,5.4,roll,-1.591546795
Body,5.43333,roll,-2.267552324
