joint,time,speed_deg_per_s,speed_rad_per_s
Body,0.0333333,2594.621398,45.28468624
Body,0.0666667,141.9631772,2.477724859
Body,0.1,39.20936872,0.6843325817
Body,0.133333,19.5538311,0.3412787341
Body,0.166667,19.27182293,0.336356763
Body,0.2,21.26456581,0.3711366874
Body,0.233333,20.87063228,0.3642612502
Body,0.266667,22.84669685,0.3987500833
Body,0.3,22.16834827,0.3869106671
Body,0.333333,11.02920939,0.1924960177
Body,0.366667,12.18520583,0.2126719618
Body,0.4,20.21146808,0.3527566646
Body,0.433333,11.06356513,0.1930956385
Body,0.466667,9.418433647,0.1643826775
Body,0.5,3.202431784,0.0558929787
Body,0.533333,8.653512817,0.1510322905
Body,0.566667,12.14293882,0.2119342633
Body,0.6,16.83933522,0.2939018434
Body,0.633333,19.7365154,0.3444671767
Body,0.666667,14.07553349,0.2456644034
Body,0.7,16.07682662,0.2805935578
Body,0.733333,12.620584,0.2202707444
Body,0.766667,7.313381369,0.1276425843
Body,0.8,4.147159742,0.0723815921
Body,0.833333,4.334953275,0.07565920757
Body,0.866667,4.867630411,0.08495617744
Body,0.9,5.368764158,0.09370261133
Body,0.933333,8.709472402,0.1520089695
Body,0.966667,9.448876809,0.1649140109
Body,1,7.849925164,0.1370070401
Body,1.03333,9.083441502,0.1585359616
Body,1.06667,7.402931398,0.1292055272
Body,1.1,5.908820197,0.1031283674
Body,1.13333,3.536320254,0.06172043184
Body,1.16667,3.09355309,0.05399268701
Body,1.2,1.631643007,0.02847754269
Body,1.23333,2.702548724,0.04716837342
Body,1.26667,2.233220177,0.03897704501
Body,1.3,0,0
Body,1.33333,0,0
Body,1.36667,1.224431727,0.02137036511
Body,1.4,2.226799735,0.03886498717
Body,1.43333,3.344744124,0.0583767976
Body,1.46667,3.572537352,0.06235253944
Body,1.5,4.804116582,0.08384765201
Body,1.53333,5.537013991,0.09663912487
Body,1.56667,7.593298978,0.1325280683
Body,1.6,11.40070288,0.1989798022
Body,1.63333,15.93210047,0.2780676099
Body,1.66667,22.81636312,0.3982206598
Body,1.7,22.42911409,0.3914618892
Body,1.73333,17.39776209,0.303648231
Body,1.76667,21.9920349,0.3838334182
Body,1.8,29.17271799,0.5091599806
Body,1.83333,36.32815869,0.6340459803
Body,1.86667,42.92139728,0.7491197021
Body,1.9,41.72666856,0.7282677523
Body,1.93333,34.01646068,0.5936992388
Body,1.96667,34.56023321,0.6031898598
Body,2,42.20262302,0.7365747247
Body,2.03333,46.88593538,0.8183139453
Body,2.06667,47.85732715,0.83526793
Body,2.1,43.59516474,0.7608791626
Body,2.13333,43.54517521,0.7600066808
Body,2.16667,44.81710267,0.7822060028
Body,2.2,51.28770213,0.8951392679
Body,2.23333,68.57360295,1.196835151
Body,2.26667,85.85674337,1.498482857
Body,2.3,91.68865448,1.600268907
Body,2.33333,95.74770968,1.671112785
Body,2.36667,91.99302889,1.605581243
Body,2.4,72.42088535,1.263982897
Body,2.43333,26.11408561,0.4557767751
Body,2.46667,73.72312635,1.28671129
Body,2.5,51.69035868,0.9021669506
Body,2.53333,20.45593907,0.3570234884
Body,2.56667,30.73678858,0.5364581623
Body,2.6,45.07293259,0.7866710773
Body,2.63333,79.54126185,1.388256911
Body,2.66667,94.44030423,1.648294255
Body,2.7,81.53885614,1.423121508
Body,2.73333,76.67178188,1.338175037
Body,2.76667,86.14581287,1.503528071
Body,2.8,97.95323473,1.709606459
Body,2.83333,80.12164857,1.39838657
Body,2.86667,30.89422013,0.5392058612
Body,2.9,20.53257795,0.3583610892
Body,2.93333,41.73819147,0.728468865
Body,2.96667,41.72550678,0.7282474754
Body,3,36.39776137,0.6352607763
Body,3.03333,45.40231954,0.7924199641
Body,3.06667,47.80519096,0.8343579818
Body,3.1,21.04372705,0.3672823239
Body,3.13333,70.19855923,1.225195989
Body,3.16667,121.9231311,2.127960072
Body,3.2,99.6294224,1.738861453
Body,3.23333,82.56589857,1.44104678
Body,3.26667,92.59555252,1.616097264
Body,3.3,65.14727309,1.137034414
Body,3.33333,44.58871924,0.77821996
Body,3.36667,25.46339903,0.4444201518
Body,3.4,47.08147193,0.8217267019
Body,3.43333,66.25864924,1.156431587
Body,3.46667,14.28884006,0.2493873053
Body,3.5,28.34287305,0.4946764541
Body,3.53333,63.5632175,1.109387429
Body,3.56667,52.49647464,0.9162363282
Body,3.6,44.00526054,0.7680366847
Body,3.63333,86.85909891,1.515977261
Body,3.66667,84.96158578,1.48285941
Body,3.7,53.37526825,0.9315741701
Body,3.73333,66.28334893,1.156862678
