joint,time,speed_deg_per_s,speed_rad_per_s
Body,0.0333333,2549.22237,44.49232372
Body,0.0666667,149.5239292,2.609684875
Body,0.1,40.07535734,0.6994469345
Body,0.133333,17.44945391,0.3045504235
Body,0.166667,8.554920167,0.1493115242
Body,0.2,5.271173088,0.09199932583
Body,0.233333,2.951150983,0.05150730138
Body,0.266667,2.588674513,0.04518089352
Body,0.3,2.082652494,0.0363491432
Body,0.333333,3.458176407,0.06035656441
Body,0.366667,3.437260628,0.05999151521
Body,0.4,4.796444552,0.08371374982
Body,0.433333,6.812755002,0.1189050059
Body,0.466667,10.79996823,0.1884950048
Body,0.5,8.749698809,0.1527110528
Body,0.533333,6.963886877,0.1215427547
Body,0.566667,3.912982431,0.06829442699
Body,0.6,3.151418101,0.05500262197
Body,0.633333,4.272791259,0.07457427572
Body,0.666667,4.36937613,0.07625999972
Body,0.7,2.37217965,0.04140234533
Body,0.733333,0,0
Body,0.766667,0.6912313228,0.01206426248
Body,0.8,0,0
Body,0.833333,0,0
Body,0.866667,1.921265367,0.03353240646
Body,0.9,2.755317221,0.04808935744
Body,0.933333,2.435725483,0.04251142935
Body,0.966667,1.413857043,0.02467646054
Body,1,1.459058657,0.02546537754
Body,1.03333,2.573939991,0.04492372759
Body,1.06667,1.252065226,0.02185266065
Body,1.1,1.677591629,0.02927949742
Body,1.13333,1.821112243,0.03178440469
Body,1.16667,1.686404815,0.02943331655
Body,1.2,2.206054908,0.03850292163
Body,1.23333,1.998434485,0.03487926166
Body,1.26667,1.937102612,0.03380881853
Body,1.3,2.919796633,0.05096006473
Body,1.33333,3.348629626,0.0584446124
Body,1.36667,1.744560924,0.03044833212
Body,1.4,2.270822846,0.0396333354
Body,1.43333,2.6837867,0.04684091434
Body,1.46667,1.342642314,0.02343352906
Body,1.5,3.637518807,0.06348667978
Body,1.53333,3.068433223,0.05355426261
Body,1.56667,3.598898146,0.0628126221
Body,1.6,3.288709125,0.05739880237
Body,1.63333,3.311003414,0.05778791112
Body,1.66667,5.835640072,0.1018511332
Body,1.7,6.150767083,0.1073511371
Body,1.73333,4.691710148,0.08188578963
Body,1.76667,4.09053157,0.07139324405
Body,1.8,3.874962389,0.06763085207
Body,1.83333,2.206693977,0.03851407549
Body,1.86667,1.99914295,0.03489162669
Body,1.9,0.6500700788,0.01134586324
Body,1.93333,0,0
Body,1.96667,0,0
Body,2,0.1282086457,0.002237662997
Body,2.03333,0.9748184116,0.01701379089
Body,2.06667,1.822381436,0.03180655628
Body,2.1,1.658649229,0.02894889018
Body,2.13333,1.875961469,0.03274170428
Body,2.16667,4.361104904,0.0761156396
Body,2.2,8.002423471,0.1396686377
Body,2.23333,5.862312694,0.1023166583
Body,2.26667,9.830764784,0.1715792135
Body,2.3,10.81959029,0.1888374743
Body,2.33333,15.05988844,0.2628446383
Body,2.36667,19.60698558,0.3422064548
Body,2.4,25.24772124,0.4406558643
Body,2.43333,33.95456246,0.5926189109
Body,2.46667,20.82870259,0.3635294392
Body,2.5,25.89585358,0.4519679076
Body,2.53333,64.92169437,1.133097323
Body,2.56667,65.54781397,1.144025171
Body,2.6,68.64139946,1.198018424
Body,2.63333,65.34354214,1.140459955
Body,2.66667,47.16686655,0.8232171192
Body,2.7,32.55959874,0.5682722012
Body,2.73333,35.6079429,0.6214758434
Body,2.76667,39.79244942,0.6945092598
Body,2.8,31.27600017,0.5458691799
Body,2.83333,9.035345,0.1576965193
Body,2.86667,36.42406444,0.6357198515
Body,2.9,62.1832485,1.085302426
Body,2.93333,43.73382297,0.7632992053
Body,2.96667,26.52301596,0.462913956
Body,3,23.95153548,0.418033155
Body,3.03333,44.94370499,0.7844156301
Body,3.06667,59.59396096,1.040110833
Body,3.1,83.31470016,1.454115833
Body,3.13333,80.44808533,1.404083966
Body,3.16667,67.08356163,1.170829024
Body,3.2,60.11692074,1.049238203
Body,3.23333,59.84808568,1.044546146
Body,3.26667,57.74800788,1.007892874
Body,3.3,50.83025932,0.8871553848
Body,3.33333,51.02176503,0.89049779
Body,3.36667,50.08477986,0.8741443136
Body,3.4,48.57932166,0.8478691114
Body,3.43333,36.58303241,0.6384943658
Body,3.46667,24.49383703,0.4274981026
Body,3.5,28.68874599,0.5007130759
Body,3.53333,62.24319327,1.08634866
Body,3.56667,27.27189204,0.4759843093
Body,3.6,50.63581692,0.8837617247
Body,3.63333,85.38757764,1.49029437
Body,3.66667,85.95647031,1.50022342
Body,3.7,95.96401162,1.674887966
Body,3.73333,82.86753026,1.446311246
Body,3.76667,66.03611999,1.152547719
Body,3.8,50.91624987,0.888656203
Body,3.83333,55.11413813,0.9619231748
Body,3.86667,68.76787484,1.200225836
