joint,time,speed_deg_per_s,speed_rad_per_s
Body,0.0333333,2529.567445,44.14928057
Body,0.0666667,145.4604839,2.538764375
Body,0.1,33.97474511,0.5929711648
Body,0.133333,19.15081771,0.3342448236
Body,0.166667,11.1349611,0.1943417332
Body,0.2,5.833019829,0.1018054014
Body,0.233333,5.05773992,0.08827421431
Body,0.266667,2.728549542,0.04762217332
Body,0.3,5.58320119,0.09744524356
Body,0.333333,1.832704852,0.03198673389
Body,0.366667,3.134085695,0.05470011441
Body,0.4,1.744094643,0.03044019399
Body,0.433333,2.750415861,0.04800381258
Body,0.466667,3.852192194,0.06723343721
Body,0.5,1.39096939,0.02427699564
Body,0.533333,2.643589901,0.04613934785
Body,0.566667,3.328817337,0.05809882272
Body,0.6,4.042488705,0.07055473788
Body,0.633333,2.984222681,0.05208451139
Body,0.666667,2.955744086,0.05158746615
Body,0.7,1.677221644,0.02927303997
Body,0.733333,3.074282699,0.05365635523
Body,0.766667,2.557524893,0.04463723008
Body,0.8,2.743994307,0.04789173531
Body,0.833333,0.7045813655,0.01229726468
Body,0.866667,2.094618828,0.03655799512
Body,0.9,3.999369536,0.0698021664
Body,0.933333,2.00464505,0.03498765646
Body,0.966667,1.993938606,0.03480079375
Body,1,1.355443728,0.02365695588
Body,1.03333,0,0
Body,1.06667,0,0
Body,1.1,0,0
Body,1.13333,0,0
Body,1.16667,1.511509408,0.02638081585
Body,1.2,1.240128914,0.02164433271
Body,1.23333,2.990243697,0.05218959794
Body,1.26667,2.154421877,0.03760175522
Body,1.3,1.158031306,0.02021145912
Body,1.33333,2.418238076,0.04220621652
Body,1.36667,0,0
Body,1.4,1.055254181,0.0184176599
Body,1.43333,2.960476331,0.0516700594
Body,1.46667,0.5906186016,0.01030823922
Body,1.5,1.201497446,0.02097008639
Body,1.53333,3.216654929,0.05614121941
Body,1.56667,0.3651909545,0.006373784554
Body,1.6,0.3432232256,0.005990375357
Body,1.63333,2.831560454,0.04942005289
Body,1.66667,2.40546587,0.04198329948
Body,1.7,3.119000591,0.05443682968
Body,1.73333,2.765236121,0.0482624749
Body,1.76667,4.038790742,0.07049019625
Body,1.8,3.190415651,0.05568325762
Body,1.83333,3.237790363,0.05651010232
Body,1.86667,3.221877098,0.05623236346
Body,1.9,3.87281255,0.0675933303
Body,1.93333,3.904557698,0.06814738767
Body,1.96667,4.018918947,0.07014336799
Body,2,3.700314096,0.06458266433
Body,2.03333,2.600670141,0.04539025672
Body,2.06667,1.644142816,0.0286957055
Body,2.1,2.623943231,0.04579644876
Body,2.13333,4.181231652,0.07297625911
Body,2.16667,3.858839788,0.0673494596
Body,2.2,4.220760311,0.07366616436
Body,2.23333,6.449067319,0.1125574584
Body,2.26667,3.850760111,0.06720844265
Body,2.3,2.229368738,0.03890982471
Body,2.33333,4.063200418,0.07091622546
Body,2.36667,7.348132325,0.128249103
Body,2.4,11.76947155,0.2054160297
Body,2.43333,15.40573135,0.2688807358
Body,2.46667,18.8088891,0.3282770435
Body,2.5,17.59563148,0.3071017032
Body,2.53333,16.04076719,0.2799642019
Body,2.56667,16.46675658,0.2873991194
Body,2.6,17.10141797,0.2984760504
Body,2.63333,17.21452616,0.3004501607
Body,2.66667,17.33017012,0.3024685285
Body,2.7,18.09313663,0.3157848062
Body,2.73333,15.47332538,0.2700604741
Body,2.76667,11.45406938,0.1999112234
Body,2.8,8.620847582,0.1504621746
Body,2.83333,11.02719511,0.192460862
Body,2.86667,15.36577134,0.268183302
