joint,time,speed_deg_per_s,speed_rad_per_s
Body,0.0333333,2567.848074,44.81740358
Body,0.0666667,159.9153408,2.791049222
Body,0.1,24.46128516,0.4269299652
Body,0.133333,7.424087816,0.1295747763
Body,0.166667,5.340888745,0.09321609358
Body,0.2,2.752714544,0.04804393215
Body,0.233333,0.9928734831,0.01732891134
Body,0.266667,1.409990324,0.02460897357
Body,0.3,2.250094691,0.03927156085
Body,0.333333,2.434871435,0.04249652341
Body,0.366667,1.425110815,0.02487287592
Body,0.4,1.075097017,0.01876398272
Body,0.433333,2.092524646,0.03652144476
Body,0.466667,2.266054004,0.03955010339
Body,0.5,3.13989827,0.05480156299
Body,0.533333,2.383380312,0.04159783377
Body,0.566667,2.445914113,0.04268925449
Body,0.6,3.643755363,0.06359552823
Body,0.633333,3.019346939,0.05269754534
Body,0.666667,2.652679687,0.04629799453
Body,0.7,4.833352605,0.08435791687
Body,0.733333,2.664887852,0.04651106722
Body,0.766667,4.562523859,0.07963106354
Body,0.8,10.55367958,0.1841964568
Body,0.833333,13.04847011,0.2277387658
Body,0.866667,11.37773341,0.1985789093
Body,0.9,12.24517062,0.2137185447
Body,0.933333,15.5134801,0.2707613062
Body,0.966667,16.2380718,0.2834078171
Body,1,16.40437461,0.2863103487
Body,1.03333,15.53591025,0.2711527861
Body,1.06667,18.24144919,0.3183733486
Body,1.1,24.18931387,0.4221831708
Body,1.13333,22.38950591,0.390770596
Body,1.16667,19.08619017,0.3331168601
Body,1.2,32.68636652,0.5704847163
Body,1.23333,39.44317698,0.6884133057
Body,1.26667,38.77185243,0.6766964821
Body,1.3,52.11228385,0.909530934
Body,1.33333,70.4504577,1.229592446
Body,1.36667,68.23811709,1.190979819
Body,1.4,52.2236762,0.9114750972
Body,1.43333,43.51188576,0.7594256703
Body,1.46667,52.16061648,0.9103744974
Body,1.5,58.43717538,1.019921116
Body,1.53333,74.78453149,1.305236304
Body,1.56667,103.4109962,1.804862367
Body,1.6,81.33061119,1.419486948
Body,1.63333,69.25765566,1.208774123
Body,1.66667,63.73644946,1.112410897
Body,1.7,68.39102622,1.193648586
Body,1.73333,48.42321997,0.8451446228
Body,1.76667,81.56133888,1.423513906
Body,1.8,114.9718801,2.006637854
Body,1.83333,128.5658181,2.243896831
Body,1.86667,134.7643978,2.352082457
Body,1.9,134.3740669,2.345269897
Body,1.93333,142.7300131,2.491108671
Body,1.96667,139.7927818,2.439844314
Body,2,128.9866984,2.251242578
Body,2.03333,122.1659629,2.132198286
Body,2.06667,113.8525079,1.987101125
Body,2.1,154.5765372,2.69786952
Body,2.13333,124.7508122,2.177312418
Body,2.16667,79.40868691,1.385943041
Body,2.2,66.88819732,1.167419274
Body,2.23333,123.0761854,2.148084665
Body,2.26667,151.4086888,2.642580135
Body,2.3,173.275091,3.02422085
Body,2.33333,175.5143046,3.0633025
Body,2.36667,158.6207591,2.768454508
Body,2.4,127.2622094,2.221144567
Body,2.43333,126.2126159,2.202825705
Body,2.46667,129.6171577,2.262246169
Body,2.5,138.6478173,2.419860912
Body,2.53333,145.6252611,2.54164028
Body,2.56667,174.1281893,3.039110224
Body,2.6,118.0806884,2.060896795
Body,2.63333,50.77337075,0.886162492
Body,2.66667,103.8878704,1.813185391
Body,2.7,175.7999067,3.068287196
Body,2.73333,215.388918,3.759245791
Body,2.76667,235.7518514,4.114646024
Body,2.8,185.9602631,3.24561887
Body,2.83333,116.7923404,2.038410882
Body,2.86667,125.5867831,2.191902861
Body,2.9,134.0176501,2.339049249
Body,2.93333,131.2859943,2.291372863
Body,2.96667,187.988063,3.281010653
Body,3,138.9799502,2.425657726
Body,3.03333,82.95517872,1.447841
Body,3.06667,143.8373011,2.510434492
Body,3.1,170.5808566,2.977197588
Body,3.13333,206.7366612,3.608235423
Body,3.16667,227.7152952,3.974381659
Body,3.2,176.285642,3.076764878
Body,3.23333,109.3134502,1.907879622
Body,3.26667,82.68180035,1.443069648
Body,3.3,108.8875523,1.900446302
Body,3.33333,127.4177354,2.223859008
Body,3.36667,133.5610895,2.331080764
Body,3.4,132.4548233,2.311772776
Body,3.43333,75.98275272,1.32614921
Body,3.46667,100.2721909,1.75007988
Body,3.5,144.4426301,2.520999476
Body,3.53333,164.577343,2.872416509
Body,3.56667,181.9539208,3.175695005
Body,3.6,190.2726862,3.32088485
Body,3.63333,174.7998684,3.050833235
Body,3.66667,137.194473,2.39449527
Head,0.0333333,74.79178345,1.305362875
Head,0.0666667,6.8610532,0.1197479685
Head,0.1,2.243100297,0.03914948563
Head,0.133333,0,0
Head,0.166667,2.243777343,0.03916130232
Head,0.2,1.951158709,0.0340541437
Head,0.233333,2.874503634,0.05016955278
Head,0.266667,1.141628839,0.01992518207
Head,0.3,3.272750314,0.05712026857
Head,0.333333,0,0
Head,0.366667,0.5708543151,0.009963287347
Head,0.4,12.54867626,0.2190157175
Head,0.433333,6.377749325,0.1113127246
Head,0.466667,1.80868902,0.03156757855
Head,0.5,0,0
Head,0.533333,1.025842103,0.0179043223
Head,0.566667,2.302346961,0.040183535
Head,0.6,8.406438217,0.1467200252
Head,0.633333,4.15243277,0.0724736238
Head,0.666667,0,0
Head,0.7,12.7805261,0.2230622605
Head,0.733333,8.931334158,0.1558811877
Head,0.766667,7.558914237,0.1319279413
Head,0.8,7.796316182,0.1360713869
Head,0.833333,6.530315437,0.1139755056
Head,0.866667,5.351393496,0.09339943608
Head,0.9,8.854298478,0.1545366614
Head,0.933333,11.30929079,0.1973843604
Head,0.966667,13.65136922,0.2382613404
Head,1,13.22702736,0.2308551776
Head,1.03333,10.967547,0.191419806
Head,1.06667,8.334676082,0.1454675397
Head,1.1,7.255098974,0.1266253647
Head,1.13333,6.067336487,0.1058949985
Head,1.16667,2.048284128,0.03574930204
Head,1.2,9.178520137,0.1601953968
Head,1.23333,17.92029772,0.3127681982
Head,1.26667,20.70337742,0.3613421022
Head,1.3,25.67196422,0.4480603011
Head,1.33333,38.51365678,0.6721901177
Head,1.36667,42.37088107,0.7395113817
Head,1.4,51.07221626,0.89137833
Head,1.43333,45.0837524,0.7868599186
Head,1.46667,47.8105834,0.8344520976
Head,1.5,35.99748364,0.6282746119
Head,1.53333,32.57347618,0.5685144081
Head,1.56667,22.79754567,0.3978922334
Head,1.6,20.33161959,0.3548537041
Head,1.63333,16.7814614,0.2928917548
Head,1.66667,29.14652285,0.5087027892
Head,1.7,36.48420547,0.6367695105
Head,1.73333,51.19459422,0.8935142284
Head,1.76667,68.90519189,1.20262247
Head,1.8,77.8554175,1.358833376
Head,1.83333,78.30930094,1.366755136
Head,1.86667,74.8177278,1.305815689
Head,1.9,70.22234665,1.225611158
Head,1.93333,63.40558084,1.10663615
Head,1.96667,36.12863793,0.6305636861
Head,2,44.71227271,0.7803763749
Head,2.03333,67.30958376,1.174773855
Head,2.06667,59.72915824,1.042470471
Head,2.1,21.63450379,0.3775933232
Head,2.13333,21.88604413,0.3819835302
Head,2.16667,6.686120431,0.1166948157
Head,2.2,26.69811865,0.4659700745
Head,2.23333,55.94158317,0.9763648151
Head,2.26667,76.1036653,1.328259532
Head,2.3,72.25857118,1.26114998
Head,2.33333,85.60576271,1.494102418
Head,2.36667,108.0583925,1.885974733
Head,2.4,107.8772439,1.882813095
Head,2.43333,90.95053962,1.587386373
Head,2.46667,75.36519432,1.315370782
Head,2.5,59.14380809,1.032254183
Head,2.53333,32.91208462,0.5744242403
Head,2.56667,15.46252769,0.2698720188
Head,2.6,46.71765097,0.8153768283
Head,2.63333,84.16256639,1.46891389
Head,2.66667,98.91026326,1.726309758
Head,2.7,107.3588503,1.873765418
Head,2.73333,102.7242879,1.792877045
Head,2.76667,104.3514351,1.821276121
Head,2.8,100.147506,1.747903718
Head,2.83333,108.6897997,1.896994868
Head,2.86667,113.9000095,1.987930184
Head,2.9,69.02521964,1.20471735
Head,2.93333,23.76611367,0.414796934
Head,2.96667,21.83756066,0.3811373342
Head,3,28.92360418,0.5048121244
Head,3.03333,77.19462705,1.347300407
Head,3.06667,97.84793803,1.707768685
Head,3.1,83.28593295,1.453613751
Head,3.13333,113.9811242,1.989345903
Head,3.16667,147.2130019,2.569351584
Head,3.2,148.2932621,2.588205683
Head,3.23333,149.0355571,2.601161175
Head,3.26667,128.3046472,2.239338539
Head,3.3,75.94779031,1.325539001
Head,3.33333,36.69038797,0.6403680738
Head,3.36667,28.56573611,0.4985661484
Head,3.4,34.42800778,0.6008820906
Head,3.43333,69.8904747,1.219818899
Head,3.46667,113.8709843,1.987423598
Head,3.5,109.664078,1.913999233
Head,3.53333,83.76926063,1.46204941
Head,3.56667,100.7470007,1.758366873
Head,3.6,112.579741,1.964887152
Head,3.63333,109.0327384,1.902980278
Head,3.66667,113.7544004,1.985388825
LeftArm1,0.0333333,3559.652599,62.12765808
LeftArm1,0.0666667,277.5317551,4.843842906
LeftArm1,0.1,108.1660649,1.887853971
LeftArm1,0.133333,49.07621073,0.8565414616
LeftArm1,0.166667,23.3112166,0.4068574822
LeftArm1,0.2,10.75267977,0.1876696654
LeftArm1,0.233333,8.480310752,0.1480093442
LeftArm1,0.266667,5.284658074,0.09223468323
LeftArm1,0.3,3.681996551,0.06426296286
LeftArm1,0.333333,4.022985959,0.07021435075
LeftArm1,0.366667,4.857131393,0.08477293502
LeftArm1,0.4,5.573320166,0.09727278717
LeftArm1,0.433333,3.748326817,0.0654206444
LeftArm1,0.466667,4.093254745,0.07144077243
LeftArm1,0.5,3.201260819,0.05587254151
LeftArm1,0.533333,6.160531911,0.1075215655
LeftArm1,0.566667,2.496315801,0.0435689299
LeftArm1,0.6,4.283831112,0.07476695751
LeftArm1,0.633333,2.933225834,0.0511944485
LeftArm1,0.666667,1.654197027,0.0288711846
LeftArm1,0.7,3.143744484,0.05486869209
LeftArm1,0.733333,8.663256579,0.1512023513
LeftArm1,0.766667,10.42617017,0.1819709978
LeftArm1,0.8,9.561029711,0.1668714483
LeftArm1,0.833333,8.64395905,0.1508655458
LeftArm1,0.866667,7.480159029,0.1305534036
LeftArm1,0.9,13.94782581,0.2434354839
LeftArm1,0.933333,5.677285608,0.09908732644
