joint,time,speed_deg_per_s,speed_rad_per_s
Body,0.0333333,2527.654339,44.11589057
Body,0.0666667,142.3988628,2.485329007
Body,0.1,17.45524838,0.3046515559
Body,0.133333,4.286386404,0.07481155577
Body,0.166667,2.024488761,0.03533399454
Body,0.2,3.110527467,0.05428894577
Body,0.233333,2.635958185,0.04600614927
Body,0.266667,0,0
Body,0.3,0,0
Body,0.333333,3.572326365,0.06234885703
Body,0.366667,2.900176805,0.05061763414
Body,0.4,2.540591976,0.04434169493
Body,0.433333,2.618387405,0.0456994813
Body,0.466667,2.871782715,0.05012206377
Body,0.5,2.55483492,0.04459028119
Body,0.533333,1.324030737,0.02310869576
Body,0.566667,0,0
Body,0.6,0,0
Body,0.633333,0,0
Body,0.666667,1.156167099,0.02017892259
Body,0.7,1.977846013,0.03451992503
Body,0.733333,1.304176445,0.02276217299
Body,0.766667,0,0
Body,0.8,1.378462862,0.02405871556
Body,0.833333,2.010271683,0.03508585974
Body,0.866667,3.405707817,0.05944081477
Body,0.9,3.590874122,0.06267257646
Body,0.933333,3.204773355,0.05593384682
Body,0.966667,3.74019371,0.0652786949
Body,1,2.527636865,0.04411558559
Body,1.03333,1.77896819,0.03104885221
Body,1.06667,0,0
Body,1.1,1.890161646,0.03298954412
Body,1.13333,2.188242778,0.0381920413
Body,1.16667,1.640699977,0.02863561663
Body,1.2,0.7289088991,0.01272186024
Body,1.23333,1.514101454,0.02642605558
Body,1.26667,2.340591392,0.04085102623
Body,1.3,2.472376366,0.04315110793
Body,1.33333,2.970076953,0.05183762186
Body,1.36667,2.074329946,0.03620388734
Body,1.4,2.529626657,0.04415031401
Body,1.43333,0,0
Body,1.46667,0,0
Body,1.5,0,0
Body,1.53333,1.266671747,0.02210759253
Body,1.56667,2.85805404,0.04988245319
Body,1.6,2.249458358,0.03926045473
Body,1.63333,0.5337944284,0.009316470304
Body,1.66667,0,0
Body,1.7,1.58485732,0.02766097841
Body,1.73333,1.972334995,0.03442373962
Body,1.76667,1.601056731,0.02794371146
Body,1.8,2.841028592,0.04958530307
Body,1.83333,2.637961728,0.0460411177
Body,1.86667,2.738301097,0.04779237005
Body,1.9,0.3379214123,0.005897841257
Body,1.93333,2.277599276,0.03975160641
Body,1.96667,1.299028522,0.02267232479
Body,2,3.760454773,0.06563231716
Body,2.03333,4.75555595,0.0830001091
Body,2.06667,4.644884958,0.08106853589
Body,2.1,3.277243122,0.05719868286
Body,2.13333,1.602298188,0.02796537898
Body,2.16667,5.736480194,0.1001204669
Body,2.2,6.169601743,0.107679864
Body,2.23333,2.796985994,0.04881661473
Body,2.26667,7.796737157,0.1360787343
Body,2.3,9.094390371,0.1587270554
Body,2.33333,11.78109573,0.2056189101
Body,2.36667,13.54024867,0.2363219209
Body,2.4,7.473159544,0.1304312396
Body,2.43333,9.505294107,0.1658986785
Body,2.46667,27.5295275,0.4804808964
Body,2.5,24.80678651,0.4329601015
Body,2.53333,27.87567186,0.4865222552
Body,2.56667,52.2375887,0.9117179161
Body,2.6,74.83510952,1.306119057
Body,2.63333,86.20199747,1.504508678
Body,2.66667,83.93673058,1.464972312
Body,2.7,69.21976625,1.208112829
Body,2.73333,60.18148143,1.050365
Body,2.76667,56.18172364,0.980556057
Body,2.8,51.43494419,0.8977091267
Body,2.83333,38.96904076,0.6801380676
Body,2.86667,40.14698856,0.7006971351
Body,2.9,55.91724622,0.9759400552
Body,2.93333,63.92884472,1.115768827
Body,2.96667,84.16317223,1.468924464
Body,3,68.37869204,1.193433314
Body,3.03333,49.91974722,0.8712639508
Body,3.06667,145.1040597,2.5325436
Body,3.1,200.9878503,3.507899744
Body,3.13333,214.7974852,3.748923342
Body,3.16667,186.5879494,3.256574061
Body,3.2,146.9322059,2.564450771
Body,3.23333,118.2545137,2.063930619
Body,3.26667,88.68262954,1.547803875
Body,3.3,67.80020467,1.183336805
Body,3.33333,70.54832722,1.231300592
Body,3.36667,67.07307631,1.170646021
Body,3.4,86.93004146,1.517215442
Body,3.43333,101.3775141,1.769371409
Body,3.46667,103.9698814,1.814616753
Body,3.5,65.42220532,1.141832887
Body,3.53333,41.34656683,0.7216337256
Body,3.56667,111.8682309,1.952468957
Body,3.6,171.1977552,2.9879645
Body,3.63333,186.9253972,3.262463637
Body,3.66667,174.846894,3.051653987
Body,3.7,161.1261363,2.812181589
Body,3.73333,128.6772163,2.245841097
Body,3.76667,87.48231912,1.526854506
Body,3.8,68.35959199,1.193099956
Body,3.83333,78.73077054,1.374111169
Body,3.86667,71.34604408,1.245223377
Body,3.9,88.71742955,1.548411249
Body,3.93333,127.8856809,2.232026198
Body,3.96667,149.196525,2.603970594
Body,4,31.2719639,0.5457987336
Body,4.03333,92.17350245,1.608731101
Body,4.06667,145.3759081,2.537288249
Body,4.1,177.3087769,3.094621949
Body,4.13333,190.1491506,3.318728747
Body,4.16667,184.1227744,3.213548642
Body,4.2,156.2480848,2.72704353
Body,4.23333,111.0334496,1.937899275
Body,4.26667,71.99445071,1.256540208
Body,4.3,59.60926667,1.040377968
Body,4.33333,70.10353373,1.223537481
Body,4.36667,69.15293701,1.206946438
Body,4.4,113.3598803,1.97850315
Body,4.43333,134.2140899,2.342477771
Body,4.46667,58.92196865,1.028382355
Body,4.5,61.71650708,1.077156251
Body,4.53333,119.9504494,2.093530281
Body,4.56667,158.1493051,2.760226083
Body,4.6,161.5150429,2.81896929
Body,4.63333,161.4578064,2.817970325
Body,4.66667,141.2467279,2.46522046
Body,4.7,107.2176149,1.871300396
Body,4.73333,96.11325184,1.677492699
Body,4.76667,78.81117839,1.37551455
Body,4.8,64.57404073,1.127029622
Body,4.83333,73.87461491,1.289355264
Body,4.86667,104.3580795,1.821392088
Body,4.9,128.4336423,2.241589928
Body,4.93333,36.89713309,0.6439764569
Body,4.96667,69.8273129,1.218716518
Body,5,138.4064198,2.415647731
Body,5.03333,176.0858955,3.073278643
Body,5.06667,184.8871834,3.226890094
Body,5.1,161.8198856,2.824289798
Body,5.13333,131.9923044,2.303700298
Body,5.16667,89.28214034,1.558267312
Body,5.2,62.59160772,1.092429639
Body,5.23333,35.19149118,0.6142073897
Body,5.26667,50.24931226,0.8770159458
Body,5.3,84.41909902,1.47339123
Body,5.33333,102.1920867,1.783588382
Body,5.36667,120.752745,2.107532981
Body,5.4,17.84844115,0.3115140644
Body,5.43333,84.07769433,1.467432594
Body,5.46667,124.8365527,2.178808871
Body,5.5,146.5751778,2.558219454
Body,5.53333,124.5337201,2.173523445
Body,5.56667,110.2159342,1.92363094
Body,5.6,88.9574701,1.552600748
Head,0.0333333,112.7212686,1.967357273
Head,0.0666667,8.129344406,0.1418838259
Head,0.1,2.739717761,0.04781709551
Head,0.133333,2.448013193,0.04272589035
Head,0.166667,0,0
Head,0.2,1.628221813,0.0284178316
Head,0.233333,2.409796225,0.04205887843
Head,0.266667,1.393300989,0.02431768973
Head,0.3,2.091689861,0.036506875
Head,0.333333,1.375935641,0.02401460724
Head,0.366667,1.55922988,0.0272136952
Head,0.4,2.590098853,0.04520575294
Head,0.433333,3.324595343,0.05802513503
Head,0.466667,4.138357373,0.07222796179
Head,0.5,5.367244971,0.0936760965
Head,0.533333,3.400030186,0.05934172141
Head,0.566667,2.130808487,0.03718962383
Head,0.6,1.827443044,0.03189489801
Head,0.633333,2.925928177,0.05106708037
Head,0.666667,3.774678338,0.0658805652
Head,0.7,3.729043866,0.06508409341
Head,0.733333,3.189927663,0.05567474062
Head,0.766667,4.494262166,0.07843967224
Head,0.8,3.373341113,0.05887590921
Head,0.833333,0.99544589,0.01737380831
Head,0.866667,0.7449753686,0.01300227303
