joint,time,speed_deg_per_s,speed_rad_per_s
Body,0.0333333,2558.995365,44.66289467
Body,0.0666667,140.6115987,2.454135363
Body,0.1,15.80635814,0.2758729923
Body,0.133333,4.274246603,0.07459967627
Body,0.166667,0,0
Body,0.2,1.913913924,0.03340409957
Body,0.233333,1.727228505,0.03014582435
Body,0.266667,1.775567935,0.03098950656
Body,0.3,2.110878056,0.03684177219
Body,0.333333,1.925406519,0.03360468319
Body,0.366667,1.284212787,0.02241374143
Body,0.4,1.872367518,0.032678978
Body,0.433333,2.238022415,0.03906085987
Body,0.466667,1.575298212,0.02749414051
Body,0.5,2.401691835,0.04191743014
Body,0.533333,2.499055509,0.04361674682
Body,0.566667,0.970371658,0.0169361804
Body,0.6,1.163400441,0.02030516822
Body,0.633333,0,0
Body,0.666667,2.367278522,0.04131680452
Body,0.7,3.119102667,0.05443861124
Body,0.733333,1.529843119,0.02670079947
Body,0.766667,3.686835618,0.06434742051
Body,0.8,3.99421886,0.06971227016
Body,0.833333,3.406773501,0.05945941446
Body,0.866667,1.763731515,0.03078292205
Body,0.9,1.856222907,0.03239720137
Body,0.933333,2.716935699,0.04741947352
Body,0.966667,3.8859366,0.0678223882
Body,1,4.6329978,0.08086106585
Body,1.03333,1.107866935,0.01933592568
Body,1.06667,1.768232171,0.03086147332
Body,1.1,1.250383165,0.02182330314
Body,1.13333,1.096761993,0.01914210789
Body,1.16667,0.2831647029,0.004942156391
Body,1.2,0.9290217363,0.01621448812
Body,1.23333,1.167019669,0.02036833567
Body,1.26667,0,0
Body,1.3,0,0
Body,1.33333,1.741164034,0.03038904521
Body,1.36667,1.223846664,0.02136015383
Body,1.4,0,0
Body,1.43333,1.407985135,0.02457397643
Body,1.46667,0.765312365,0.01335722057
Body,1.5,1.404726805,0.02451710784
Body,1.53333,1.36902076,0.02389391978
Body,1.56667,0,0
Body,1.6,0,0
Body,1.63333,1.856480499,0.03240169721
Body,1.66667,1.314322638,0.02293925747
Body,1.7,1.130027088,0.01972269332
Body,1.73333,1.645626558,0.0287216017
Body,1.76667,0,0
Body,1.8,0,0
Body,1.83333,0.3201891351,0.005588354636
Body,1.86667,1.318485595,0.02301191477
Body,1.9,1.502379071,0.02622146139
Body,1.93333,1.197086107,0.020893094
Body,1.96667,1.799484556,0.03140693034
Body,2,1.182695169,0.02064192475
Body,2.03333,1.71392883,0.02991370123
Body,2.06667,2.017171904,0.0352062913
Body,2.1,2.024748461,0.03533852717
Body,2.13333,1.062376312,0.01854196454
Body,2.16667,0.5549303026,0.0096853609
Body,2.2,1.248449907,0.02178956143
Body,2.23333,3.221766676,0.05623043623
Body,2.26667,3.540068089,0.06178584389
Body,2.3,5.942797605,0.103721385
Body,2.33333,6.9943894,0.1220751242
Body,2.36667,8.981164979,0.1567508995
Body,2.4,7.710379372,0.1345715066
Body,2.43333,7.729108734,0.1348983957
Body,2.46667,6.120922895,0.1068302578
Body,2.5,4.957005978,0.08651607536
Body,2.53333,8.321051373,0.1452297437
Body,2.56667,17.56343297,0.3065397332
Body,2.6,36.15157108,0.6309639451
Body,2.63333,45.19375194,0.7887797728
Body,2.66667,36.90346194,0.6440869163
Body,2.7,29.82239499,0.5204989835
Body,2.73333,32.54049878,0.567938844
Body,2.76667,46.57708989,0.8129235746
Body,2.8,51.63212388,0.9011505615
Body,2.83333,52.31503974,0.9130696918
Body,2.86667,51.79308317,0.9039598311
Body,2.9,43.19808796,0.7539488655
Body,2.93333,38.85511648,0.6781497138
Body,2.96667,34.60058993,0.6038942175
Body,3,28.26168291,0.493259419
Body,3.03333,39.2228591,0.6845680333
Body,3.06667,46.0973321,0.8045502215
Body,3.1,60.09886237,1.048923025
Body,3.13333,64.40507457,1.124080606
Body,3.16667,48.79713893,0.8516707398
Body,3.2,35.63924235,0.622022122
Body,3.23333,45.69949971,0.7976067364
Body,3.26667,78.86516081,1.376456721
Body,3.3,117.3496067,2.048137012
Body,3.33333,122.5417971,2.138757831
Body,3.36667,111.5547951,1.946998471
Body,3.4,100.367455,1.751742551
Body,3.43333,98.16210245,1.713251889
Body,3.46667,93.1768097,1.626242116
Body,3.5,89.82223025,1.567693659
Body,3.53333,84.33539006,1.471930233
Body,3.56667,65.14722952,1.137033654
Body,3.6,48.20187821,0.8412814804
Body,3.63333,31.23668123,0.5451829349
Body,3.66667,55.39487941,0.9668230344
Body,3.7,71.44512438,1.246952655
Body,3.73333,72.5973421,1.267062648
Body,3.76667,63.03391236,1.100149311
Body,3.8,48.61878049,0.8485577978
Body,3.83333,18.92037411,0.3302228239
Body,3.86667,81.92720606,1.429899493
Body,3.9,117.9590736,2.058774217
Body,3.93333,121.0072881,2.111975596
Body,3.96667,107.3863874,1.874246032
Body,4,99.60287183,1.738398058
Body,4.03333,90.82752227,1.585239315
Body,4.06667,80.53750895,1.405644702
Body,4.1,73.89665675,1.289739966
