joint,time,speed_deg_per_s,speed_rad_per_s
Body,0.0333333,2539.102298,44.31569515
Body,0.0666667,160.1887678,2.795821423
Body,0.1,18.35890582,0.3204233535
Body,0.133333,9.441823728,0.1647909114
Body,0.166667,4.424264299,0.077217979
Body,0.2,3.059151605,0.05339226783
Body,0.233333,3.33125544,0.05814137565
Body,0.266667,3.222675616,0.05624630022
Body,0.3,0,0
Body,0.333333,1.647129869,0.02874783941
Body,0.366667,2.107121577,0.03677620927
Body,0.4,2.386283312,0.04164850067
Body,0.433333,1.985305791,0.03465012271
Body,0.466667,1.156336136,0.02018187283
Body,0.5,1.399831501,0.02443166867
Body,0.533333,1.96277272,0.03425684644
Body,0.566667,1.32712054,0.023162623
Body,0.6,1.247028378,0.02176475107
Body,0.633333,0.8590252,0.0149928181
Body,0.666667,0,0
Body,0.7,0,0
Body,0.733333,1.698300935,0.02964094301
Body,0.766667,0.9526277009,0.01662648993
Body,0.8,1.326427806,0.02315053251
Body,0.833333,1.634271892,0.02852342539
Body,0.866667,0.6886575673,0.01201934197
Body,0.9,0,0
Body,0.933333,0.9301604623,0.01623436264
Body,0.966667,1.383119287,0.0241399855
Body,1,0,0
Body,1.03333,0.6080490451,0.01061245785
Body,1.06667,2.851862554,0.04977439138
Body,1.1,2.315338768,0.0404102848
Body,1.13333,2.371240827,0.04138595979
Body,1.16667,2.689374274,0.0469384359
Body,1.2,4.896918658,0.08546735379
Body,1.23333,2.588101896,0.04517089947
Body,1.26667,4.654565504,0.08123749329
Body,1.3,4.382394325,0.0764872101
Body,1.33333,6.124671712,0.106895687
Body,1.36667,6.803678863,0.1187465974
Body,1.4,5.171442029,0.09025869048
Body,1.43333,6.692111706,0.1167993832
Body,1.46667,7.490351305,0.1307312924
Body,1.5,7.930044652,0.138405389
Body,1.53333,6.517391937,0.1137499479
Body,1.56667,6.99216619,0.1220363219
Body,1.6,6.486594163,0.1132124254
Body,1.63333,6.731544257,0.117487611
Body,1.66667,6.153491735,0.1073986913
Body,1.7,3.833442309,0.06690618997
Body,1.73333,2.39938978,0.0418772517
Body,1.76667,0,0
Body,1.8,0,0
Body,1.83333,3.70539436,0.06467133166
Body,1.86667,11.24984621,0.1963468568
Body,1.9,18.87078892,0.329357399
Body,1.93333,21.15115012,0.3691572102
Body,1.96667,17.92291557,0.3128138883
Body,2,20.69102481,0.3611265086
Body,2.03333,20.78910284,0.3628382931
Body,2.06667,26.31182047,0.4592278993
Body,2.1,33.01292646,0.5761842624
Body,2.13333,36.8261336,0.6427372821
Body,2.16667,39.65940693,0.6921872303
Body,2.2,42.81019295,0.7471788203
Body,2.23333,41.37531387,0.7221354561
Body,2.26667,34.83614742,0.6080054712
Body,2.3,24.74646695,0.4319073264
Body,2.33333,16.82315043,0.2936193655
Body,2.36667,15.05848307,0.2628201099
Body,2.4,32.4766631,0.5668247012
Body,2.43333,56.1934443,0.9807606211
Body,2.46667,47.09392459,0.8219440418
Body,2.5,31.51954903,0.5501199094
Body,2.53333,38.92316857,0.6793374469
Body,2.56667,29.64470261,0.5173976663
Body,2.6,9.977498045,0.174140192
Body,2.63333,7.963938372,0.138996946
Body,2.66667,14.96613536,0.2612083383
Body,2.7,29.86570348,0.5212548591
Body,2.73333,39.58677314,0.6909195315
Body,2.76667,44.81410569,0.7821536957
Body,2.8,47.47846452,0.8286555297
Body,2.83333,49.64731465,0.8665091053
Body,2.86667,50.68760551,0.8846656061
Body,2.9,51.06319687,0.891220912
Body,2.93333,51.626793,0.9010575201
Body,2.96667,53.26386189,0.9296297624
Body,3,52.60817127,0.9181858021
Body,3.03333,46.30835598,0.8082332831
Body,3.06667,53.23584387,0.9291407556
Body,3.1,38.99836215,0.6806498223
Body,3.13333,33.59229926,0.5862962255
Body,3.16667,27.57974942,0.4813574342
Body,3.2,18.76084317,0.3274384837
Body,3.23333,24.68618461,0.4308552012
Body,3.26667,45.86671263,0.8005251525
Body,3.3,46.38466297,0.8095650912
Body,3.33333,25.16428782,0.4391996765
Body,3.36667,23.26642935,0.4060757973
Body,3.4,8.655145332,0.1510607833
Body,3.43333,11.67372546,0.2037449453
Body,3.46667,5.394070148,0.09414428417
Body,3.5,10.84137316,0.1892176571
Body,3.53333,31.52557974,0.550225165
Body,3.56667,42.29027718,0.7381045784
Body,3.6,49.58121065,0.865355373
Body,3.63333,51.67598854,0.9019161443
Body,3.66667,54.45131221,0.9503546801
Body,3.7,61.15962606,1.067436844
Body,3.73333,59.47594505,1.038051067
Body,3.76667,58.01786837,1.012602828
Body,3.8,53.09232049,0.9266358001
Body,3.83333,47.40093038,0.8273023036
Body,3.86667,39.017475,0.6809834046
Body,3.9,30.67953888,0.5354589665
Body,3.93333,25.20486212,0.4399078315
Body,3.96667,18.54400913,0.3236540158
Body,4,19.97042249,0.3485496255
Body,4.03333,25.94754568,0.4528701049
Body,4.06667,27.31993874,0.4768228824
Body,4.1,47.76246317,0.8336122412
Body,4.13333,50.21512882,0.8764193323
Body,4.16667,22.2455491,0.3882580758
Body,4.2,10.69845961,0.1867233451
Body,4.23333,7.232504175,0.126231011
Body,4.26667,9.334407537,0.1629161452
Body,4.3,10.32784901,0.1802549698
Body,4.33333,18.74987306,0.3272470192
Body,4.36667,30.99316097,0.5409327045
Body,4.4,38.43192837,0.6707636879
Body,4.43333,43.49475741,0.7591267241
Body,4.46667,48.64033594,0.8489340115
Body,4.5,50.49112223,0.8812363259
Body,4.53333,52.3254799,0.913251907
Body,4.56667,52.70385144,0.9198557362
Body,4.6,51.30286888,0.8954039777
Body,4.63333,47.98202486,0.8374443156
Body,4.66667,45.05433224,0.7863464398
Body,4.7,41.55439269,0.725260971
Body,4.73333,37.23444573,0.6498636732
Body,4.76667,30.11655443,0.5256330341
Body,4.8,24.10582139,0.4207259522
Body,4.83333,39.54907462,0.6902615683
Body,4.86667,44.9939216,0.7852920753
Body,4.9,45.95370848,0.8020435165
Body,4.93333,48.09834662,0.8394745133
Body,4.96667,40.72754516,0.7108297594
Body,5,25.25832811,0.4408409891
Body,5.03333,17.53647877,0.3060692937
