joint,time,speed_deg_per_s,speed_rad_per_s
Body,0.0333333,2547.809705,44.46766806
Body,0.0666667,91.0077884,1.588385553
Body,0.1,6.147499696,0.1072941105
Body,0.133333,3.162413596,0.05519452956
Body,0.166667,4.907646986,0.08565459843
Body,0.2,4.862034999,0.08485851908
Body,0.233333,2.874770853,0.05017421663
Body,0.266667,2.461303136,0.04295784362
Body,0.3,2.3282209,0.04063512042
Body,0.333333,0,0
Body,0.366667,0,0
Body,0.4,1.940353418,0.03386555579
Body,0.433333,3.066251927,0.05351619183
Body,0.466667,2.116923499,0.03694728507
Body,0.5,2.983830623,0.05207766869
Body,0.533333,3.335039625,0.05820742214
Body,0.566667,3.080296086,0.05376130865
Body,0.6,1.332190275,0.02325110656
Body,0.633333,2.660982692,0.04644290931
Body,0.666667,2.543435039,0.04439131574
Body,0.7,0.8315275137,0.01451289293
Body,0.733333,1.86585851,0.03256537437
Body,0.766667,1.135632843,0.01982053221
Body,0.8,2.368310975,0.04133482422
Body,0.833333,1.571779857,0.02743273361
Body,0.866667,1.234473446,0.02154562615
Body,0.9,1.952213818,0.03407255883
Body,0.933333,2.905114763,0.05070381776
Body,0.966667,3.099208698,0.05409139599
Body,1,4.875751188,0.08509791174
Body,1.03333,6.584114048,0.1149144685
Body,1.06667,5.964329658,0.1040971902
Body,1.1,6.517797275,0.1137570224
Body,1.13333,6.212130467,0.1084221302
Body,1.16667,2.919081014,0.05094757482
Body,1.2,2.626783978,0.04584602916
Body,1.23333,9.580258682,0.1672070572
Body,1.26667,17.75697501,0.3099176791
Body,1.3,21.01129925,0.366716352
Body,1.33333,22.00637021,0.3840836165
Body,1.36667,30.61652966,0.5343592481
Body,1.4,44.55391636,0.7776125352
Body,1.43333,73.10332828,1.275893773
Body,1.46667,86.20888239,1.504628842
Body,1.5,70.81426408,1.235942066
Body,1.53333,71.16817884,1.242119043
Body,1.56667,52.88257085,0.9229749782
Body,1.6,41.30409325,0.7208924218
Body,1.63333,64.98606636,1.134220826
Body,1.66667,41.91380609,0.7315339184
Body,1.7,29.49318421,0.5147531714
Body,1.73333,35.33486723,0.6167097739
Body,1.76667,40.3147004,0.7036242589
Body,1.8,38.35350923,0.6693950158
Body,1.83333,34.65312226,0.6048110795
Body,1.86667,56.47785841,0.9857245838
Body,1.9,59.37458624,1.036282022
Body,1.93333,65.58646601,1.144699777
Body,1.96667,32.91476545,0.5744710296
Body,2,116.0442131,2.025353597
Body,2.03333,187.8840552,3.279195376
Body,2.06667,193.1565915,3.371218494
Body,2.1,138.2518611,2.412950173
Body,2.13333,55.41961404,0.9672547351
Body,2.16667,46.15590095,0.8055724408
Body,2.2,75.71176676,1.321419612
Body,2.23333,49.85375955,0.8701122486
Body,2.26667,107.136975,1.869892964
Body,2.3,111.6849805,1.949270634
Body,2.33333,73.56419908,1.283937486
Body,2.36667,36.06778356,0.629501577
Body,2.4,117.4610849,2.050082674
Body,2.43333,130.1270397,2.271145289
Body,2.46667,144.355738,2.519482921
Body,2.5,126.4190912,2.206429379
Body,2.53333,116.1300696,2.026852076
Body,2.56667,92.26744359,1.610370683
Body,2.6,70.20826582,1.225365401
Body,2.63333,61.6159963,1.075402007
Body,2.66667,20.3953016,0.3559651649
Body,2.7,110.9587097,1.936594819
Body,2.73333,144.6115027,2.523946858
Body,2.76667,51.98017337,0.9072251711
Body,2.8,109.6307809,1.913418088
Body,2.83333,167.8492653,2.929522327
Body,2.86667,172.2198151,3.005802812
Body,2.9,137.0675327,2.392279743
Body,2.93333,77.30754855,1.349271259
Body,2.96667,76.94083278,1.342870861
Body,3,63.6505756,1.110912115
Body,3.03333,31.6195648,0.5518655138
Body,3.06667,64.83595132,1.131600824
Body,3.1,85.19594995,1.486949836
Body,3.13333,93.7099834,1.635547752
Body,3.16667,60.60843025,1.057816662
Body,3.2,82.0801163,1.43256828
Body,3.23333,79.85143758,1.393670498
Body,3.26667,126.1780693,2.202222753
Body,3.3,126.0761698,2.200444271
Body,3.33333,123.781885,2.160401448
Body,3.36667,122.3966132,2.136223894
Body,3.4,97.03700624,1.693615255
Body,3.43333,102.5160413,1.789242456
Body,3.46667,33.03838098,0.5766285276
Body,3.5,95.37016132,1.664523323
Body,3.53333,148.8142038,2.59729783
Body,3.56667,145.9101314,2.546612205
Body,3.6,54.41325619,0.9496904772
Body,3.63333,111.9467578,1.953839511
Body,3.66667,132.3788501,2.310446795
Body,3.7,130.3508412,2.275051361
Body,3.73333,120.5581095,2.104135951
Body,3.76667,88.55682216,1.545608122
Body,3.8,57.65891982,1.006337994
Body,3.83333,44.69700893,0.7801099716
Body,3.86667,6.119131663,0.1067989949
Body,3.9,72.72084994,1.269218266
Body,3.93333,104.8193334,1.829442487
Body,3.96667,109.3221391,1.908031272
Body,4,120.3061753,2.099738869
Body,4.03333,78.54302825,1.370834447
Body,4.06667,63.45484095,1.107495901
Body,4.1,80.65388844,1.407675908
Body,4.13333,89.12486139,1.555522277
Body,4.16667,85.75707887,1.496743383
Body,4.2,103.3768433,1.804266286
Body,4.23333,144.0291828,2.513783459
Body,4.26667,110.5664167,1.929748013
Body,4.3,55.7595722,0.9731881244
Body,4.33333,70.40627774,1.228821361
Body,4.36667,130.0747768,2.270233129
Head,0.0333333,187.3633789,3.270107859
Head,0.0666667,26.62295341,0.4646581936
Head,0.1,13.20731263,0.2305110907
Head,0.133333,8.318322101,0.1451821089
Head,0.166667,8.383844139,0.1463256842
Head,0.2,5.365167768,0.09363984247
Head,0.233333,4.164827805,0.07268995798
Head,0.266667,3.774802416,0.06588273077
Head,0.3,3.703764512,0.06464288546
Head,0.333333,5.888967512,0.1027818726
Head,0.366667,4.470650829,0.07802757667
Head,0.4,4.199376277,0.07329294257
Head,0.433333,4.612714881,0.08050706214
Head,0.466667,3.761203427,0.06564538364
Head,0.5,3.717779048,0.06488748524
Head,0.533333,5.032966115,0.08784182985
Head,0.566667,3.754507185,0.06552851217
Head,0.6,3.911581473,0.06826997567
Head,0.633333,2.179102424,0.03803251203
Head,0.666667,2.157920315,0.03766281449
Head,0.7,3.455474402,0.06030940553
Head,0.733333,1.752762289,0.03059147295
Head,0.766667,3.330196592,0.05812289527
Head,0.8,0,0
Head,0.833333,3.575867422,0.06241066013
Head,0.866667,2.862779637,0.04996493042
Head,0.9,0,0
Head,0.933333,3.769988556,0.06579871306
Head,0.966667,2.814413514,0.04912078232
Head,1,2.302006294,0.04017758923
Head,1.03333,2.187855665,0.03818528492
Head,1.06667,2.481961571,0.04331840132
Head,1.1,1.584664476,0.02765761265
Head,1.13333,2.094338291,0.03655309882
Head,1.16667,4.718118516,0.0823467026
Head,1.2,4.78845377,0.08357428436
Head,1.23333,7.484809692,0.130634573
Head,1.26667,7.545474226,0.1316933689
Head,1.3,7.480685463,0.1305625916
Head,1.33333,6.706594878,0.1170521622
Head,1.36667,7.631924689,0.1332022141
Head,1.4,8.016868741,0.1399207552
Head,1.43333,23.18306777,0.4046208633
Head,1.46667,19.74343088,0.3445878745
Head,1.5,24.22223414,0.4227577379
Head,1.53333,16.75597508,0.2924469345
Head,1.56667,25.17195961,0.4393335745
Head,1.6,27.23878442,0.4754064723
Head,1.63333,31.25039633,0.5454223085
Head,1.66667,49.93130927,0.8714657467
Head,1.7,52.14174973,0.9100452106
Head,1.73333,52.50085243,0.916312735
Head,1.76667,35.79451692,0.6247321745
Head,1.8,13.30022587,0.2321327327
Head,1.83333,13.98755892,0.2441289575
Head,1.86667,43.59509881,0.760878012
Head,1.9,60.30036458,1.052439902
Head,1.93333,65.68423038,1.146406087
Head,1.96667,58.71186603,1.024715372
Head,2,81.84141611,1.428402176
Head,2.03333,108.0848815,1.886437053
Head,2.06667,119.1855448,2.080180177
Head,2.1,112.7415434,1.967711136
Head,2.13333,99.52878313,1.737104966
Head,2.16667,81.69633227,1.425869985
Head,2.2,58.46197504,1.020353952
Head,2.23333,37.41376415,0.6529933699
Head,2.26667,26.80440473,0.4678251165
Head,2.3,21.76004959,0.3797845108
Head,2.33333,9.131477872,0.1593743544
Head,2.36667,12.09034301,0.2110162933
Head,2.4,38.54653628,0.6727639734
Head,2.43333,63.16677742,1.102468244
Head,2.46667,114.7720586,2.003150313
Head,2.5,143.9751656,2.512840681
Head,2.53333,155.0267752,2.705727656
Head,2.56667,144.0223964,2.513665015
Head,2.6,110.2659065,1.924503121
Head,2.63333,65.37279886,1.140970581
Head,2.66667,44.54742217,0.7774991902
Head,2.7,26.84747589,0.4685768501
Head,2.73333,17.27514146,0.3015080972
Head,2.76667,22.20499429,0.3875502607
Head,2.8,48.59146538,0.8480810593
Head,2.83333,78.06069729,1.362416184
Head,2.86667,86.38197688,1.507649911
Head,2.9,76.49495663,1.335088854
Head,2.93333,76.60638668,1.337033676
Head,2.96667,79.6414344,1.390005251
Head,3,82.13131048,1.433461787
Head,3.03333,101.3651537,1.769155679
Head,3.06667,62.20498293,1.085681763
Head,3.1,33.25554252,0.5804187114
Head,3.13333,20.93738768,0.3654263518
Head,3.16667,26.34291482,0.4597705982
Head,3.2,67.27933434,1.174245903
Head,3.23333,88.29802021,1.541091176
Head,3.26667,108.3765413,1.891527477
Head,3.3,95.11531198,1.660075363
Head,3.33333,82.73202411,1.443946218
Head,3.36667,76.83649079,1.34104975
Head,3.4,45.25372038,0.7898264195
Head,3.43333,21.46483908,0.3746321154
Head,3.46667,20.13255825,0.3513794284
Head,3.5,23.11243377,0.4033880674
Head,3.53333,18.6721222,0.3258900107
Head,3.56667,21.35950749,0.3727937324
Head,3.6,19.46070723,0.3396534158
Head,3.63333,51.80563001,0.9041788148
Head,3.66667,61.51979425,1.073722965
Head,3.7,42.49806709,0.7417311964
Head,3.73333,24.224909,0.4228044231
Head,3.76667,23.50064405,0.4101636151
Head,3.8,29.70604027,0.5184682105
Head,3.83333,29.1077736,0.5080264873
Head,3.86667,35.9445485,0.6273507194
Head,3.9,37.10875038,0.6476698755
Head,3.93333,39.86989416,0.6958609256
Head,3.96667,54.67784838,0.9543084821
Head,4,54.34695009,0.9485332175
Head,4.03333,49.38422452,0.8619173164
Head,4.06667,94.96386544,1.657432122
Head,4.1,97.29972067,1.698200487
Head,4.13333,80.91137309,1.412169863
Head,4.16667,68.88482052,1.202266923
Head,4.2,50.83452727,0.8872298746
Head,4.23333,28.19513715,0.4920979763
Head,4.26667,24.25921506,0.4234031768
Head,4.3,44.29845934,0.7731539691
Head,4.33333,53.58636588,0.9352585188
Head,4.36667,43.88133388,0.7658737563
LeftArm1,0.0333333,3114.287717,54.35457452
LeftArm1,0.0666667,345.9778891,6.038453304
LeftArm1,0.1,195.9120982,3.419311159
LeftArm1,0.133333,125.1959498,2.185081535
LeftArm1,0.166667,89.67724391,1.56516317
LeftArm1,0.2,66.18086272,1.155073956
LeftArm1,0.233333,52.14758575,0.9101470684
LeftArm1,0.266667,44.61068807,0.7786033883
LeftArm1,0.3,39.19437322,0.684070861
LeftArm1,0.333333,31.41609813,0.5483143506
LeftArm1,0.366667,25.58167981,0.446484541
LeftArm1,0.4,20.55715132,0.3587899754
LeftArm1,0.433333,11.74215648,0.2049392919
