joint,time,speed_deg_per_s,speed_rad_per_s
Body,0.0333333,2560.086322,44.68193546
Body,0.0666667,93.09168939,1.624756486
Body,0.1,7.314096016,0.1276550573
Body,0.133333,2.432410972,0.04245358022
Body,0.166667,0,0
Body,0.2,0,0
Body,0.233333,0,0
Body,0.266667,0.632398969,0.0110374442
Body,0.3,2.078148465,0.03627053306
Body,0.333333,2.023171492,0.03531100387
Body,0.366667,2.391939618,0.04174722183
Body,0.4,0.4918080583,0.008583669906
Body,0.433333,0.5270762966,0.009199216785
Body,0.466667,0,0
Body,0.5,0,0
Body,0.533333,0,0
Body,0.566667,2.924056641,0.05103441591
Body,0.6,0.4777665534,0.008338599413
Body,0.633333,2.212837935,0.03862130778
Body,0.666667,2.952211199,0.05152580564
Body,0.7,2.842878478,0.04961758967
Body,0.733333,1.627118543,0.0283985759
Body,0.766667,3.409399271,0.0595052428
Body,0.8,2.408584669,0.04203773279
Body,0.833333,2.122016065,0.03703616712
Body,0.866667,1.440802545,0.02514674828
Body,0.9,2.400382778,0.04189458279
Body,0.933333,2.987549452,0.05214257451
Body,0.966667,2.570303276,0.04486025494
Body,1,3.580887523,0.06249827743
Body,1.03333,3.928948352,0.06857308489
Body,1.06667,3.396464569,0.05927948966
Body,1.1,8.717676221,0.1521521532
Body,1.13333,10.28217193,0.1794577544
Body,1.16667,10.7013141,0.1867731653
Body,1.2,12.6071292,0.2200359137
Body,1.23333,16.8038091,0.2932817956
Body,1.26667,19.2657261,0.3362503532
Body,1.3,15.38291754,0.2684825596
Body,1.33333,10.85492493,0.1894541801
Body,1.36667,10.65331327,0.1859353928
Body,1.4,10.34037439,0.180473579
Body,1.43333,15.14924898,0.2644042739
Body,1.46667,29.15951385,0.508929525
Body,1.5,43.57719928,0.7605656062
Body,1.53333,67.01515632,1.169635126
Body,1.56667,95.56562067,1.667934732
Body,1.6,82.92900365,1.447384159
Body,1.63333,84.36295122,1.472411265
Body,1.66667,75.6801819,1.320868353
Body,1.7,46.70646092,0.8151815251
Body,1.73333,27.97183578,0.4882006321
Body,1.76667,29.82962762,0.5206252166
Body,1.8,29.25291976,0.5105597657
Body,1.83333,21.58266977,0.3766886488
Body,1.86667,30.64228857,0.534808826
Body,1.9,53.73276126,0.9378136002
Body,1.93333,40.16943762,0.7010889451
Body,1.96667,41.74613324,0.728607475
Body,2,32.45562576,0.5664575302
Body,2.03333,62.8910453,1.09765581
Body,2.06667,84.20227134,1.469606872
Body,2.1,66.78744785,1.165660864
Body,2.13333,125.0577121,2.182668831
Body,2.16667,153.9667016,2.687225881
Body,2.2,155.4668182,2.713407856
Body,2.23333,140.9007606,2.459182191
Body,2.26667,153.882336,2.685753423
Body,2.3,71.6705597,1.250887243
Body,2.33333,112.20016,1.958262214
Body,2.36667,43.08825969,0.7520320005
Body,2.4,70.97323511,1.238716634
Body,2.43333,80.92389005,1.412388325
Body,2.46667,47.57348866,0.8303140139
Body,2.5,65.59255387,1.14480603
Body,2.53333,55.26349596,0.9645299606
Body,2.56667,65.19183227,1.137812119
Body,2.6,110.3173868,1.925401622
Body,2.63333,132.3100338,2.309245723
Body,2.66667,133.3795856,2.327912924
Body,2.7,142.0425417,2.479110031
Body,2.73333,109.0147163,1.902665733
Body,2.76667,76.44742872,1.334259336
Body,2.8,82.58692096,1.44141369
Body,2.83333,34.65705698,0.6048797533
Body,2.86667,36.75957698,0.6415756499
Body,2.9,44.12758967,0.7701717307
Body,2.93333,54.45928482,0.9504938285
Body,2.96667,52.43853428,0.9152250781
Body,3,50.45261663,0.8805642764
Body,3.03333,29.20697149,0.509757817
Body,3.06667,74.89695747,1.307198508
Body,3.1,123.7418182,2.159702149
Body,3.13333,139.3046727,2.431325202
Body,3.16667,138.7721289,2.42203056
Body,3.2,157.8701967,2.755354723
Body,3.23333,89.21622538,1.557116879
Body,3.26667,91.31473372,1.593742759
Body,3.3,22.37315641,0.3904852434
Body,3.33333,97.80084902,1.706946827
Body,3.36667,89.45259113,1.56124224
Body,3.4,73.0669775,1.275259332
Body,3.43333,55.97467558,0.9769423865
Body,3.46667,79.0597733,1.37985335
Body,3.5,117.8415499,2.056723041
Body,3.53333,131.8923758,2.301956216
Body,3.56667,129.5064009,2.260313099
Body,3.6,114.0006512,1.989686712
Body,3.63333,82.36858748,1.437603052
Body,3.66667,77.92883053,1.360114675
Body,3.7,48.32203281,0.8433785738
Body,3.73333,68.81726224,1.201087808
Body,3.76667,61.63802779,1.075786529
Body,3.8,56.39901727,0.9843485462
Body,3.83333,66.42930658,1.15941012
Body,3.86667,63.66532497,1.11116954
Body,3.9,43.92611573,0.7666553472
Body,3.93333,94.01940083,1.640948105
Body,3.96667,112.1790097,1.957893071
Body,4,130.5798879,2.279048981
Body,4.03333,152.2494909,2.657254901
Body,4.06667,97.04421634,1.693741095
Body,4.1,89.53492726,1.562679276
Body,4.13333,37.70028496,0.6579941015
Body,4.16667,85.31837761,1.489086602
Body,4.2,80.9295873,1.412487761
Body,4.23333,74.56396171,1.301386635
Body,4.26667,61.75308268,1.077794616
Body,4.3,47.55313504,0.829958776
Body,4.33333,73.69052388,1.286142269
Body,4.36667,77.61018425,1.354553248
Body,4.4,91.98940043,1.605517914
Body,4.43333,100.1769875,1.748418266
Body,4.46667,98.26953935,1.715127016
Body,4.5,96.21035272,1.679187429
Body,4.53333,57.73608293,1.007684744
Body,4.56667,56.27927902,0.9822587196
Body,4.6,61.24274934,1.068887619
Body,4.63333,46.26804845,0.8075297839
Body,4.66667,56.97236537,0.9943553584
Head,0.0333333,108.4979608,1.893646648
Head,0.0666667,28.05186611,0.489597425
Head,0.1,6.883916754,0.1201470128
Head,0.133333,5.659836524,0.09878278246
Head,0.166667,3.141383309,0.05482748181
Head,0.2,1.681570141,0.02934893556
Head,0.233333,2.362620757,0.04123551118
Head,0.266667,6.92310796,0.1208310284
Head,0.3,2.374212042,0.04143781728
Head,0.333333,1.709969024,0.02984458958
Head,0.366667,1.785578326,0.03116422084
Head,0.4,1.554059017,0.02712344661
Head,0.433333,2.903593933,0.05067727428
Head,0.466667,1.07126754,0.01869714575
Head,0.5,0.8245760256,0.01439156658
Head,0.533333,1.326345265,0.02314909189
Head,0.566667,2.08957576,0.03646997698
Head,0.6,2.175156102,0.03796363572
Head,0.633333,1.707536941,0.02980214171
Head,0.666667,2.919080949,0.05094757369
Head,0.7,1.992585178,0.03477717198
