joint,time,speed_deg_per_s,speed_rad_per_s
Body,0.0333333,2390.714027,41.72583125
Body,0.0666667,231.7223708,4.044318321
Body,0.1,54.71169638,0.9548992411
Body,0.133333,20.12699643,0.3512823563
Body,0.166667,9.644108411,0.1683214452
Body,0.2,5.493292861,0.09587604721
Body,0.233333,3.736830726,0.06521999976
Body,0.266667,3.230628946,0.05638511202
Body,0.3,1.966909118,0.03432904019
Body,0.333333,1.761488731,0.0307437781
Body,0.366667,0.9604910178,0.0167637307
Body,0.4,1.61649277,0.02821312117
Body,0.433333,1.336443553,0.02332534026
Body,0.466667,0.517421426,0.009030707505
Body,0.5,1.306774721,0.02280752146
Body,0.533333,4.825437896,0.08421977913
Body,0.566667,6.909843803,0.1205995252
Body,0.6,8.365890683,0.1460123373
Body,0.633333,8.491762151,0.1482092088
Body,0.666667,4.277545288,0.07465724917
Body,0.7,3.067754401,0.05354241494
Body,0.733333,3.772572787,0.0658438164
Body,0.766667,5.839066809,0.1019109411
Body,0.8,6.988583645,0.1219737947
Body,0.833333,7.566830824,0.1320661118
Body,0.866667,8.517562414,0.1486595084
Body,0.9,9.729801086,0.1698170645
Body,0.933333,8.583898428,0.1498172902
Body,0.966667,8.042733449,0.1403721796
Body,1,7.260047267,0.1267117287
Body,1.03333,4.791173396,0.0836217508
Body,1.06667,7.705212032,0.1344813195
Body,1.1,12.08703658,0.2109585852
Body,1.13333,16.03787047,0.2799136448
Body,1.16667,12.61955038,0.2202527043
Body,1.2,21.19632412,0.3699456452
Body,1.23333,50.25297352,0.8770798468
Body,1.26667,71.80844963,1.253293877
Body,1.3,58.17755665,1.015389914
Body,1.33333,47.01402668,0.8205495601
Body,1.36667,53.40954203,0.9321723605
Body,1.4,56.07736109,0.9787345869
Body,1.43333,47.9164674,0.836300122
Body,1.46667,29.09142391,0.5077411313
Body,1.5,7.983555794,0.1393393346
Body,1.53333,17.77786054,0.3102822004
Body,1.56667,18.03285651,0.3147327197
Body,1.6,20.76144746,0.3623556157
Body,1.63333,47.44694771,0.8281054576
Body,1.66667,49.0364272,0.8558471081
Body,1.7,49.85031351,0.870052104
Body,1.73333,30.03843888,0.5242696606
Body,1.76667,33.95959118,0.5927066788
Body,1.8,55.80341101,0.9739532559
Body,1.83333,80.69220756,1.408344703
Body,1.86667,82.91268463,1.447099339
Body,1.9,100.9030623,1.761090662
Body,1.93333,108.4505001,1.892818302
Body,1.96667,109.3997798,1.909386359
Body,2,108.9809324,1.902076093
Body,2.03333,80.1935706,1.399641846
Body,2.06667,43.26840477,0.7551761253
Body,2.1,79.272354,1.383563583
Body,2.13333,52.61732439,0.9183455543
Body,2.16667,33.72219662,0.5885633621
Body,2.2,66.13114639,1.154206243
Body,2.23333,55.90150676,0.9756653498
Body,2.26667,116.9307457,2.040826509
Body,2.3,44.8188686,0.7822368241
Body,2.33333,63.77563265,1.113094772
Body,2.36667,87.40352112,1.525479221
Body,2.4,58.52378291,1.021432703
Body,2.43333,58.12249767,1.014428954
Body,2.46667,57.80320112,1.008856178
Body,2.5,60.66037031,1.058723187
Body,2.53333,58.8101038,1.026429945
Body,2.56667,63.36732623,1.105968481
Body,2.6,61.3953883,1.071551671
Body,2.63333,23.42974814,0.408926248
Body,2.66667,25.42862362,0.4438132064
Body,2.7,38.48219509,0.6716410077
Body,2.73333,74.30464542,1.296860712
Body,2.76667,104.7979601,1.829069452
Body,2.8,102.5295683,1.789478547
Body,2.83333,81.59338251,1.424073173
Body,2.86667,87.30463675,1.523753364
Body,2.9,78.65385062,1.372768663
Body,2.93333,93.38883901,1.629942725
Body,2.96667,94.56497925,1.650470245
Body,3,100.2877514,1.750351461
Body,3.03333,117.4561906,2.049997253
Body,3.06667,124.8377974,2.178830595
Body,3.1,52.77442218,0.9210874278
Body,3.13333,62.87701362,1.097410912
Body,3.16667,39.50941119,0.6895693108
Body,3.2,28.11926881,0.490773824
Body,3.23333,61.51308907,1.073605937
Body,3.26667,77.26912847,1.348600702
Body,3.3,134.2859849,2.343732575
Body,3.33333,31.31876769,0.5466156139
Body,3.36667,72.13545268,1.259001157
Body,3.4,70.82985101,1.236214109
Body,3.43333,49.63122854,0.8662283499
Body,3.46667,58.83091213,1.026793119
Body,3.5,62.84277837,1.096813394
Body,3.53333,68.73855257,1.199714065
Body,3.56667,69.74537486,1.217286429
Body,3.6,67.14507277,1.171902596
Body,3.63333,42.44664512,0.7408337137
Body,3.66667,20.19863892,0.3525327536
Body,3.7,25.84193271,0.4510268108
Body,3.73333,47.95041763,0.8368926654
Body,3.76667,75.14649179,1.311553703
Body,3.8,98.78222442,1.724075058
Body,3.83333,81.05137826,1.414613414
Body,3.86667,65.43757887,1.142101206
Body,3.9,77.85275439,1.358786896
Body,3.93333,68.0234715,1.187233546
Body,3.96667,92.11304024,1.607675836
Body,4,103.5733625,1.807696192
Body,4.03333,111.6551129,1.948749346
Body,4.06667,129.6876824,2.263477057
Body,4.1,120.9873808,2.111628149
Body,4.13333,53.28910788,0.9300703879
Body,4.16667,69.6680106,1.215936168
Body,4.2,44.94134203,0.7843743888
Body,4.23333,40.15248542,0.7007930735
Body,4.26667,70.74310459,1.234700098
Body,4.3,54.1712189,0.9454661296
Body,4.33333,97.85952893,1.707970984
Body,4.36667,92.52676022,1.614896612
