joint,time,speed_deg_per_s,speed_rad_per_s
Body,0.0333333,2536.539968,44.27097405
Body,0.0666667,88.40869124,1.54302275
Body,0.1,5.788230996,0.1010236887
Body,0.133333,1.611517913,0.02812629354
Body,0.166667,2.323963682,0.04056081794
Body,0.2,1.645083902,0.02871213056
Body,0.233333,1.633928769,0.02851743676
Body,0.266667,1.55768041,0.02718665184
Body,0.3,1.722039511,0.03005525931
Body,0.333333,0.9731290617,0.01698430617
Body,0.366667,0.5800683176,0.01012410203
Body,0.4,1.611008755,0.02811740705
Body,0.433333,1.721400202,0.03004410128
Body,0.466667,0,0
Body,0.5,1.446207092,0.02524107541
Body,0.533333,1.60575495,0.02802571086
Body,0.566667,2.499799366,0.04362972957
Body,0.6,1.757841277,0.03068011802
Body,0.633333,0,0
Body,0.666667,1.337178565,0.02333816865
Body,0.7,0.1159481158,0.002023676382
Body,0.733333,0,0
Body,0.766667,0,0
Body,0.8,1.357459066,0.02369213016
Body,0.833333,1.641661865,0.02865240474
Body,0.866667,2.158731744,0.03767697659
Body,0.9,2.210925414,0.038587928
Body,0.933333,2.700603676,0.04713442593
Body,0.966667,0.6718240303,0.01172554132
Body,1,1.257179767,0.02194192622
Body,1.03333,2.512886738,0.04385814731
Body,1.06667,2.672871841,0.04665041411
Body,1.1,0.8252354295,0.01440307535
Body,1.13333,1.905881844,0.03326391333
Body,1.16667,2.430899553,0.04242720098
Body,1.2,1.641045958,0.02864165515
Body,1.23333,2.702557561,0.04716852766
Body,1.26667,2.890341101,0.05044596871
Body,1.3,2.27742949,0.03974864307
Body,1.33333,2.572168916,0.04489281649
Body,1.36667,3.029422147,0.0528733909
Body,1.4,4.624034235,0.08070462212
Body,1.43333,9.71702966,0.1695941611
Body,1.46667,14.85868283,0.2593329378
Body,1.5,19.27043672,0.336332569
Body,1.53333,27.02397887,0.4716574082
Body,1.56667,31.70720301,0.5533950891
Body,1.6,37.1908458,0.6491027108
Body,1.63333,43.22943738,0.7544960161
Body,1.66667,46.05810613,0.8038655992
Body,1.7,32.92070009,0.5745746086
Body,1.73333,22.26005303,0.3885112171
Body,1.76667,27.8902917,0.4867774195
Body,1.8,42.19036709,0.7363608183
Body,1.83333,44.17199886,0.7709468173
Body,1.86667,25.03699078,0.436977924
Body,1.9,11.0322509,0.1925491021
