data_name,Body,Head,UpperBody,LeftArm1,LeftArm2,RightArm1,RightArm2,LeftLeg1,LeftLeg2,RightLeg1,RightLeg2,LeftHand,RightHand,LeftFoot,RightFoot
EMLACOE01.4,103.8455885,27.63781288,121.0062613,125.783367,115.7936188,121.6352063,55.18594554,237.0638485,125.117475,250.2087061,134.8978274,104.416548,93.09963846,280.5742911,329.6989941
EMLACOE02.4,136.5012773,30.81503148,163.326804,109.8181314,121.5654109,120.6254238,61.64112318,270.1992282,152.0944667,359.2672166,188.1473575,81.90303604,86.04505761,327.2461584,422.3765602
EMLACOE03.4,135.7157736,52.80000308,158.6465307,175.9524385,188.131503,193.3598572,142.4320945,300.8304775,161.0383681,314.0173067,160.0789359,137.9445062,132.2899354,347.5796066,394.1116269
EMLACOE04.4,128.9093926,53.48489237,154.6238918,179.2262004,198.9676029,201.1982578,140.5171241,277.0529901,154.2726056,308.476469,160.7913198,144.7074775,123.3312921,327.8783725,364.2127411
EMLACOE05.4,114.5578284,34.71350828,137.3592821,174.6812019,162.1173323,175.8760672,122.7878753,264.6271109,144.9686823,290.2592586,157.465155,123.2214949,131.0464854,314.484715,387.8884876
EMLAJOE01.4,74.04676249,30.63813132,89.63776658,99.0710505,67.2606819,104.6761631,57.60335892,156.5697823,78.28094206,158.0174417,74.71706384,83.40955158,95.048295,186.6110892,226.5361406
EMLAJOE02.4,110.0579134,26.72947837,140.8226367,140.2312214,78.33225321,152.9328222,70.83145277,244.1948941,124.8641379,243.0225414,119.7797852,108.9974772,135.4012721,293.341805,329.8967856
EMLAJOE03.4,100.1501324,20.81049883,127.7065734,119.8217163,76.50259758,137.7927112,67.19223261,213.1683958,105.880615,224.4408751,113.8961923,102.1600056,118.9000515,255.8989614,329.3847582
EMLAJOE04.4,114.2590865,30.46348286,146.0767231,116.0248148,81.53183484,159.2604673,87.97706054,246.9731949,126.2956673,254.3799629,125.1292753,107.5947198,125.0031522,283.1865271,345.926354
EMLAJOE05.4,104.6787712,30.84432221,134.2359271,144.4110068,83.10658979,149.786451,78.48747311,228.6785599,114.0779152,241.6521427,113.9122054,118.5489803,132.4948066,282.5493078,320.0339306
EMLANEE01.4,79.5969492,26.1058945,94.85871013,98.02704994,61.9053441,110.6865683,45.21954411,182.8093432,87.88439187,196.4705297,105.1779846,72.00101107,98.97051488,232.7079206,306.4031048
EMLANEE02.4,88.77448452,32.83748743,106.9256081,108.1489201,65.06424557,110.2460244,41.72664901,212.4627774,103.4524878,207.6573459,102.9059311,80.23315123,99.06140765,274.5269672,293.1311917
EMLANEE03.4,85.59250844,27.81831534,104.2277758,98.7961031,53.93297777,101.5292345,41.31814945,200.1799484,98.47519948,210.5574592,105.7189962,75.04995049,95.81598684,252.2656744,315.2310352
EMLANEE04.4,84.84102977,36.305554,108.980619,117.1864205,58.76771368,126.3982247,42.72567719,195.7951324,98.37864195,199.9534099,101.0548515,86.6406237,112.4332385,256.8264454,294.9607778
EMLANEE05.4,84.36046768,28.43704202,101.3577186,110.3978452,57.64074033,110.5720511,35.88443873,195.3707275,91.84920831,206.673566,105.5128805,75.42369389,98.18223408,251.5683747,313.6364676
EMLATRE01.4,31.78613488,15.86703442,31.74626929,46.79809406,34.06977628,36.04946052,22.79333144,88.0109632,41.97963701,89.84629043,40.03136119,32.35536503,34.85299861,133.1923355,174.2322759
EMLATRE02.4,39.86504656,23.5122512,34.97977578,57.92940508,34.60006315,55.54583918,30.13954864,93.54210596,41.05378676,94.50637872,41.94394168,38.71301708,46.70916137,144.6117776,190.3250701
EMLATRE03.4,40.74211867,22.26359759,33.7132647,63.08401676,34.7374344,59.00487098,29.86133726,85.04450443,36.29022558,95.45384427,46.90280355,40.58556606,51.65394462,134.5082898,191.7182408
