joint,time,angle_type,angle_deg
Body,0,roll,-6.397690529
Body,0.0333333,roll,2.023325564
Body,0.0666667,roll,0.3349374059
Body,0.1,roll,-0.5902236527
Body,0.133333,roll,-0.9542277751
Body,0.166667,roll,-1.174936241
Body,0.2,roll,-1.298487493
Body,0.233333,roll,-1.432549147
Body,0.266667,roll,-1.42698993
Body,0.3,roll,-1.569545058
Body,0.333333,roll,-1.669263408
Body,0.366667,roll,-1.616227461
Body,0.4,roll,-1.648871644
Body,0.433333,roll,-1.608247064
Body,0.466667,roll,-1.598260669
Body,0.5,roll,-1.569953606
Body,0.533333,roll,-1.475641425
Body,0.566667,roll,-1.351558243
Body,0.6,roll,-1.154403029
Body,0.633333,roll,-0.9079489893
Body,0.666667,roll,-0.7875643494
Body,0.7,roll,-0.7662772772
Body,0.733333,roll,-0.8406427654
Body,0.766667,roll,-0.7488054295
Body,0.8,roll,-0.8054397076
Body,0.833333,roll,-0.7050825227
Body,0.866667,roll,-0.7638218906
Body,0.9,roll,-0.807206477
Body,0.933333,roll,-0.9038198395
Body,0.966667,roll,-0.9154034723
Body,1,roll,-0.9689240736
Body,1.03333,roll,-0.9511441597
Body,1.06667,roll,-0.9645479921
Body,1.1,roll,-0.9410810248
Body,1.13333,roll,-0.9166859436
Body,1.16667,roll,-0.873006386
Body,1.2,roll,-0.861443602
Body,1.23333,roll,-0.86476047
Body,1.26667,roll,-0.9304882416
Body,1.3,roll,-1.041890704
Body,1.33333,roll,-1.127112597
Body,1.36667,roll,-1.142359201
Body,1.4,roll,-1.087610613
Body,1.43333,roll,-1.019529316
Body,1.46667,roll,-0.9365312811
Body,1.5,roll,-0.8142403154
Body,1.53333,roll,-0.6841558905
Body,1.56667,roll,-0.5530647177
Body,1.6,roll,-0.4871100784
Body,1.63333,roll,-0.4783362138
Body,1.66667,roll,-0.4524131234
Body,1.7,roll,-0.4734495374
Body,1.73333,roll,-0.5364076165
Body,1.76667,roll,-0.6108603315
Body,1.8,roll,-0.8038044009
Body,1.83333,roll,-1.076837955
Body,1.86667,roll,-1.420317008
Body,1.9,roll,-1.860922314
Body,1.93333,roll,-2.211976763
Body,1.96667,roll,-2.333407217
Body,2,roll,-2.06886548
Body,2.03333,roll,-1.36017161
Body,2.06667,roll,-0.4846615007
Body,2.1,roll,-0.1573067235
Body,2.13333,roll,-0.8388576012
Body,2.16667,roll,-2.22442638
Body,2.2,roll,-2.503423602
Body,2.23333,roll,-2.256164258
Body,2.26667,roll,-2.027766123
Body,2.3,roll,-0.8472516754
Body,2.33333,roll,0.7705052759
Body,2.36667,roll,2.360678712
Body,2.4,roll,2.881132867
Body,2.43333,roll,1.130102483
Body,2.46667,roll,-0.3447157027
Body,2.5,roll,0.8559208824
Body,2.53333,roll,1.841210666
Body,2.56667,roll,3.58700996
Body,2.6,roll,5.289301327
Body,2.63333,roll,6.059847536
Body,2.66667,roll,6.364792728
Body,2.7,roll,5.189275297
Body,2.73333,roll,2.242032904
Body,2.76667,roll,-1.06093963
Body,2.8,roll,-3.908810838
Body,2.83333,roll,-6.728892629
Body,2.86667,roll,-8.269887589
Body,2.9,roll,-7.348861115
Body,2.93333,roll,-6.366139411
Body,2.96667,roll,-5.728955857
Body,3,roll,-5.368924508
Body,3.03333,roll,-5.376292514
Body,3.06667,roll,-4.580488115
Body,3.1,roll,-3.88598417
Body,3.13333,roll,-3.282733968
Body,3.16667,roll,-1.603623126
Body,3.2,roll,2.748810631
Body,3.23333,roll,6.866514591
Body,3.26667,roll,7.135362126
Body,3.3,roll,4.602222685
Body,3.33333,roll,7.766271478
Body,3.36667,roll,12.10584486
Body,3.4,roll,9.880192114
Body,3.43333,roll,4.930381922
Body,3.46667,roll,0.2905708019
Body,3.5,roll,-1.79149978
Body,3.53333,roll,-1.52280498
Body,3.56667,roll,-1.130056324
Body,3.6,roll,-0.9950024131
Body,3.63333,roll,-1.423797413
Body,3.66667,roll,-2.363208091
Body,3.7,roll,-6.151423786
Body,3.73333,roll,-8.796675302
Body,3.76667,roll,-8.316617169
Body,3.8,roll,-5.208912282
Body,3.83333,roll,-2.693259699
Body,3.86667,roll,-2.831789548
Body,3.9,roll,-1.412656631
Body,3.93333,roll,2.901765209
Body,3.96667,roll,5.638537471
Body,4,roll,4.293785717
Body,4.03333,roll,3.128759429
Body,4.06667,roll,4.019537165
Body,4.1,roll,4.546001005
Body,4.13333,roll,1.967046639
Body,4.16667,roll,-1.814321134
Body,4.2,roll,-3.98743108
Body,4.23333,roll,-4.694870468
Body,4.26667,roll,-5.199598793
Body,4.3,roll,-5.908946411
Body,4.33333,roll,-6.188946412
Body,4.36667,roll,-6.036855477
Body,4.4,roll,-4.801069668
Body,4.43333,roll,-3.173564655
Body,4.46667,roll,0.161863357
Body,4.5,roll,1.893285209
Body,4.53333,roll,3.179332865
Body,4.56667,roll,2.582044555
Body,4.6,roll,1.932606299
Body,4.63333,roll,2.140441321
Body,4.66667,roll,3.40421281
Body,4.7,roll,4.962661659
Body,4.73333,roll,6.060274691
Body,4.76667,roll,5.699262007
Body,4.8,roll,5.380499633
Body,4.83333,roll,5.215739114
Body,4.86667,roll,4.630146729
Body,4.9,roll,2.39541635
Body,4.93333,roll,-0.4277051489
Body,4.96667,roll,-2.632049653
